voyage,arrival,departure,port,longitude,latitude
Columbus' First Voyage,8/3/1492,8/3/1492,"Palos de la Frontera, Castille",-6.8929,37.2298
Columbus' First Voyage,8/9/1492,9/13/1492,Canary Islands,-16.62913,28.291564
Columbus' First Voyage,10/13/1492,10/14/1492,San Salvador,-73.51,22.6
Columbus' First Voyage,10/16/1492,10/17/1492,Ferdinanda,-75.1,23.18
Columbus' First Voyage,10/19/1492,10/19/1492,Isabela,-74.35,22.59
Columbus' First Voyage,10/20/1492,10/20/1492,"Rio St. Salvador, Cuba",-76.04,21.08
Columbus' First Voyage,10/24/1492,10/25/1492,Islas de Arena,-75.77,22.33
Columbus' First Voyage,10/28/1492,11/24/1492,"Cayo Cruz, Cuba",-77.76,22.18
Columbus' First Voyage,12/5/1492,12/16/1492,Hispaniola (north),-73.38,19.66
Columbus' First Voyage,12/24/1492,12/28/1492,"La Navidad, Hispaniola",-72.21,19.74
Columbus' First Voyage,1/1/1493,1/1/1493,"Samana Bay, Hispaniola",-69.14,19.14
Columbus' First Voyage,3/4/1493,3/4/1493,"Lisbon, Portugal",-9.14,38.72
Captain Cook's First Voyage,8/14/1768,8/25/1768,"Plymouth, England",-4.14,50.38
Captain Cook's First Voyage,9/12/1768,9/13/1768,"Funchal, Madeira",-16.96,32.76
Captain Cook's First Voyage,11/13/1768,12/5/1768,"Rio de Janeiro, Brazil",-43.17,-22.91
Captain Cook's First Voyage,1/15/1769,1/21/1769,"Bay of Good Success, Tierra del Fuego",-65.263,-54.8
Captain Cook's First Voyage,4/13/1769,7/13/1769,"Matavai Bay, Tahiti",-149.51,-17.52
Captain Cook's First Voyage,7/17/1769,7/20/1769,"Huahine, French Polynesia",-150.99,-16.79
Captain Cook's First Voyage,7/21/1769,7/25/1769,"Ulietea, French Polynesia",-151.46,-16.82
Captain Cook's First Voyage,7/28/1769,7/29/1769,"Ha'amene Bay, Tahaa, French Polynesia",-151.47,-16.64
Captain Cook's First Voyage,7/30/1769,7/31/1769,"Hurepiti Bay, Tahaa, French Polynesia",-151.53,-16.65
Captain Cook's First Voyage,8/2/1769,8/9/1769,"Ulietea, French Polynesia",-151.46,-16.82
Captain Cook's First Voyage,10/9/1769,10/11/1769,"Poverty Bay, New Zealand",177.98,-38.71
Captain Cook's First Voyage,10/23/1769,10/29/1769,"Tolaga Bay, New Zealand",178.3,-38.37
Captain Cook's First Voyage,11/4/1769,11/15/1769,"Mercury Bay, New Zealand",175.74,-36.81
Captain Cook's First Voyage,11/19/1769,11/24/1769,"Firth of Thames, New Zealand",175.4,-37.08
Captain Cook's First Voyage,11/25/1769,11/25/1769,"Bream Bay, New Zealand",174.46,-35.88
Captain Cook's First Voyage,11/29/1769,12/5/1769,"Motuarohia Island, New Zealand",174.14,-35.23
Captain Cook's First Voyage,1/14/1770,2/7/1770,"Queen Charlotte Sound, New Zealand",174.33,-41.08
