City of Publication,City of Origin,Weight,Years
New London,Amiens,1,1784
"Alexandria, VA",Amsterdam,1,1804
Baltimore,Amsterdam,2,1789
Boston,Amsterdam,7,1759
Boston,Amsterdam,5,1764
Boston,Amsterdam,4,1784
Boston,Amsterdam,4,1789
Boston,Amsterdam,1,1799
"Burlington, Vermont",Amsterdam,1,1784
Charleston,Amsterdam,4,1789
Charleston,Amsterdam,1,1804
Concord,Amsterdam,1,1799
District of Columbia,Amsterdam,1,1804
Hartford,Amsterdam,2,1799
Litchfield,Amsterdam,1,1799
Middletown,Amsterdam,1,1799
New Bedford,Amsterdam,1,1799
New London,Amsterdam,1,1764
New York City,Amsterdam,4,1759
New York City,Amsterdam,1,1764
New York City,Amsterdam,1,1789
New York City,Amsterdam,5,1804
Newport,Amsterdam,1,1764
Newport,Amsterdam,1,1784
Newport,Amsterdam,1,1799
"Norwich, CT",Amsterdam,1,1784
"Otsego, NY",Amsterdam,1,1799
Philadelphia,Amsterdam,3,1759
Philadelphia,Amsterdam,2,1784
Philadelphia,Amsterdam,2,1789
Philadelphia,Amsterdam,2,1799
"Portland, ME",Amsterdam,1,1799
"Portsmouth, NH",Amsterdam,1,1759
"Portsmouth, NH",Amsterdam,3,1789
"Portsmouth, NH",Amsterdam,2,1799
Providence,Amsterdam,1,1764
Providence,Amsterdam,1,1784
Providence,Amsterdam,1,1789
"Richmond, VA",Amsterdam,1,1804
"Rutland, Vermont",Amsterdam,1,1799
Salem,Amsterdam,1,1799
"Windham, MA",Amsterdam,2,1799
Baltimore,Antigua,1,1779
Baltimore,Antigua,1,1804
Boston,Antigua,5,1759
Boston,Antigua,2,1764
Boston,Antigua,3,1769
Boston,Antigua,6,1779
Boston,Antigua,11,1784
Boston,Antigua,2,1804
"Burlington, Vermont",Antigua,4,1784
Charleston,Antigua,1,1789
Charleston,Antigua,2,1799
District of Columbia,Antigua,4,1804
Harrisburg,Antigua,1,1804
Hartford,Antigua,1,1769
Hartford,Antigua,2,1784
New Haven,Antigua,3,1779
New Haven,Antigua,1,1784
New Haven,Antigua,1,1804
New London,Antigua,1,1764
New London,Antigua,1,1779
New London,Antigua,5,1784
New York City,Antigua,3,1759
New York City,Antigua,2,1764
New York City,Antigua,3,1769
New York City,Antigua,2,1779
New York City,Antigua,13,1784
New York City,Antigua,3,1789
New York City,Antigua,3,1794
New York City,Antigua,1,1799
New York City,Antigua,9,1804
Newport,Antigua,1,1764
Newport,Antigua,1,1769
Newport,Antigua,3,1784
"Norwich, CT",Antigua,1,1779
"Norwich, CT",Antigua,4,1784
"Norwich, CT",Antigua,1,1789
Philadelphia,Antigua,4,1759
Philadelphia,Antigua,1,1764
Philadelphia,Antigua,4,1784
Philadelphia,Antigua,4,1789
Philadelphia,Antigua,1,1799
Philadelphia,Antigua,2,1804
"Portsmouth, NH",Antigua,2,1779
"Portsmouth, NH",Antigua,2,1784
"Portsmouth, NH",Antigua,1,1789
Providence,Antigua,1,1769
Providence,Antigua,2,1779
Providence,Antigua,3,1784
Salem,Antigua,1,1784
Savannah,Antigua,1,1769
Williamsburg,Antigua,1,1779
"Alexandria, VA",Bahamas,1,1804
Baltimore,Bahamas,7,1789
Baltimore,Bahamas,1,1794
Baltimore,Bahamas,1,1804
Bennington,Bahamas,1,1789
Boston,Bahamas,3,1789
Carlisle,Bahamas,1,1789
Charleston,Bahamas,7,1789
Charleston,Bahamas,1,1794
Charleston,Bahamas,1,1799
Charleston,Bahamas,4,1804
District of Columbia,Bahamas,1,1804
Easton,Bahamas,2,1804
Hartford,Bahamas,1,1799
Hartford,Bahamas,1,1804
Litchfield,Bahamas,1,1789
New Haven,Bahamas,1,1789
New London,Bahamas,2,1789
New London,Bahamas,1,1804
New York City,Bahamas,1,1789
New York City,Bahamas,2,1794
New York City,Bahamas,6,1799
New York City,Bahamas,8,1804
Newburyport,Bahamas,1,1804
"Norwich, CT",Bahamas,1,1804
Philadelphia,Bahamas,6,1789
Philadelphia,Bahamas,4,1799
Philadelphia,Bahamas,3,1804
"Portland, ME",Bahamas,1,1804
"Portsmouth, NH",Bahamas,1,1789
"Portsmouth, NH",Bahamas,1,1804
Providence,Bahamas,1,1789
Providence,Bahamas,1,1794
Providence,Bahamas,1,1799
Providence,Bahamas,1,1804
Savannah,Bahamas,1,1799
"Windham, MA",Bahamas,1,1799
"Windham, MA",Bahamas,1,1804
"Worcester, MA",Bahamas,1,1799
"Albany, NY",Barbados,1,1804
"Alexandria, VA",Barbados,1,1804
Baltimore,Barbados,1,1784
Boston,Barbados,1,1759
Boston,Barbados,3,1764
Boston,Barbados,1,1769
Boston,Barbados,2,1784
Boston,Barbados,1,1789
Boston,Barbados,2,1799
Carlisle,Barbados,1,1804
"Greenfield, MA",Barbados,1,1804
Hartford,Barbados,3,1799
Litchfield,Barbados,1,1789
Litchfield,Barbados,1,1799
Middletown,Barbados,2,1799
New Haven,Barbados,1,1799
New Haven,Barbados,1,1804
New London,Barbados,1,1784
New London,Barbados,1,1799
New London,Barbados,1,1804
New York City,Barbados,3,1759
New York City,Barbados,1,1764
New York City,Barbados,1,1779
New York City,Barbados,2,1789
New York City,Barbados,3,1794
New York City,Barbados,2,1804
Newport,Barbados,1,1799
"Norwich, CT",Barbados,1,1799
Philadelphia,Barbados,1,1759
Philadelphia,Barbados,1,1779
Philadelphia,Barbados,3,1784
