Description,Author,Recipient,Date,Year,Location,Origin,Destination
"28 Dec 1619: Braunschweig-Wolfenbüttel, Sophia Hedwig von, 1592-1642 (Utrecht, Utrecht, Netherlands) to Bergh, Catharina van den, 1578-1640","Braunschweig-Wolfenbüttel, Sophia Hedwig von, 1592-1642","Bergh, Catharina van den, 1578-1640",1619-12-28T00:00:00Z,1619,"Gelders Archief, Rijksarchief Gelderland
Gemeentearchieven van Arnhem, Renkum, Rheden en Rozendaal
State Archives Gelderland
Municipal archives of Arnhem, Renkum, Rheden and Rozendaal, Arnhem, Netherlands","Utrecht, Utrecht, Netherlands",
"7 Mar 1627: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Ostheim, Gelle de, fl. 1627 (Franeker, Friesland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Ostheim, Gelle de, fl. 1627",1627-03-07T00:00:00Z,1627,"Tresoar, Fries Historisch en Letterkundig Centrum
Frysk Histoarysk en Letterkundich Sintrum
Provinciale Bibliotheek Friesland
Provincial Libary, Leeuwarden
Tresoar, Frysk Histoarysk en Letterkundich Sintrum, Leeuwarden, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Franeker, Friesland, Netherlands"
"28 Oct 1633: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Fielding, Mary, 1613-1638","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Fielding, Mary, 1613-1638",1633-10-28T00:00:00Z,1633,,"Rhenen, Utrecht, Netherlands",
"18 Oct 1635: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Fielding, Mary, 1613-1638","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Fielding, Mary, 1613-1638",1635-10-18T00:00:00Z,1635,,"Rhenen, Utrecht, Netherlands",
"7 Sep 1639: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Elisabeth of the Palatinate (Princess), 1618-1680","Schurman, Anna Maria van, 1607-1678","Elisabeth of the Palatinate (Princess), 1618-1680",1639-09-07T00:00:00Z,1639,,"Utrecht, Utrecht, Netherlands",
"20 Oct 1639: Gournay, Marie de, 1565-1645 to Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands)","Gournay, Marie de, 1565-1645","Schurman, Anna Maria van, 1607-1678",1639-10-20T00:00:00Z,1639,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland",,"Utrecht, Utrecht, Netherlands"
"25 Dec 1639: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Coutel (Mrs), d.1639","Schurman, Anna Maria van, 1607-1678","Coutel (Mrs), d.1639",1639-12-25T00:00:00Z,1639,,"Utrecht, Utrecht, Netherlands",
"13 May 1640: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Makin, Bathsua, 1600-1675 or after","Schurman, Anna Maria van, 1607-1678","Makin, Bathsua, 1600-1675 or after",1640-05-13T00:00:00Z,1640,,"Utrecht, Utrecht, Netherlands",
"9 Jul 1640: Brederode, Helena van, 1594-1666 (Vianen, Utrecht, Netherlands) to Braunschweig-Wolfenbüttel, Sophia Hedwig von, 1592-1642 (Diez, Rhineland-Palatinate, (Lower Rhenish-Westphalian Imperial Circle) Germany, (Holy Roman Empire))","Brederode, Helena van, 1594-1666","Braunschweig-Wolfenbüttel, Sophia Hedwig von, 1592-1642",1640-07-09T00:00:00Z,1640,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","Vianen, Utrecht, Netherlands","Diez, Rhineland-Palatinate, (Lower Rhenish-Westphalian Imperial Circle) Germany, (Holy Roman Empire)"
"8 Aug 1640: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Dury, Dorothy Moore (née King), 1612-1664","Schurman, Anna Maria van, 1607-1678","Dury, Dorothy Moore (née King), 1612-1664",1640-08-08T00:00:00Z,1640,,"Utrecht, Utrecht, Netherlands",
