Description,Author,Recipient,Date,Year,Location,Origin,Destination
"20 Mar 1642: Charles I Louis, Elector Palatine, 1618-1680 (Newmarket, Suffolk, England) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands)","Charles I Louis, Elector Palatine, 1618-1680","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1642-03-20T00:00:00Z,1642,,"Newmarket, Suffolk, England","The Hague, South Holland, Netherlands"
"22 Mar 1642: Charles I Louis, Elector Palatine, 1618-1680 (Newmarket, Suffolk, England) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands)","Charles I Louis, Elector Palatine, 1618-1680","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1642-03-22T00:00:00Z,1642,,"Newmarket, Suffolk, England","The Hague, South Holland, Netherlands"
"25 Mar 1642: Charles I Louis, Elector Palatine, 1618-1680 (Stamford, Lincolnshire, England) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands)","Charles I Louis, Elector Palatine, 1618-1680","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1642-03-25T00:00:00Z,1642,,"Stamford, Lincolnshire, England","The Hague, South Holland, Netherlands"
"19 Aug 1642: Charles I, King of England, Scotland, and Ireland, 1600-1649 (York, North Yorkshire, England) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Charles I, King of England, Scotland, and Ireland, 1600-1649","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1642-08-19T00:00:00Z,1642,,"York, North Yorkshire, England",
"29 Oct 1642: Roe, Thomas (Sir), 1581-1644 (St Martin's Lane, London, England) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Roe, Thomas (Sir), 1581-1644","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1642-10-29T00:00:00Z,1642,,"St Martin's Lane, London, England",
"31 Dec 1642: Roe, Thomas (Sir), 1581-1644 (St Martin's Lane, London, England) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Roe, Thomas (Sir), 1581-1644","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1642-12-31T00:00:00Z,1642,,"St Martin's Lane, London, England",
"2 Mar 1643: Aston, Walter, 1609-1678 (Lichfield, Staffordshire, England, United Kingdom) to Aston, Mary (Lady), 1603-1678 or before (Tixall, Staffordshire, England)","Aston, Walter, 1609-1678","Aston, Mary (Lady), 1603-1678 or before",1643-03-02T00:00:00Z,1643,"British Library, Manuscript Collections, BL
British Museum
B.M.
The British Library, London, England, United Kingdom","Lichfield, Staffordshire, England, United Kingdom","Tixall, Staffordshire, England"
"11 May 1643: Clifton, Lawrence, fl. 1643 (London, England, United Kingdom) to Clifton, mother of Lawrence Clifton, fl. 1643","Clifton, Lawrence, fl. 1643","Clifton, mother of Lawrence Clifton, fl. 1643",1643-05-11T00:00:00Z,1643,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","London, England, United Kingdom",
"20 May 1643: Aston, Walter, 1609-1678 to Aston, Mary (Lady), 1603-1678 or before (Tixall, Staffordshire, England)","Aston, Walter, 1609-1678","Aston, Mary (Lady), 1603-1678 or before",1643-05-20T00:00:00Z,1643,"British Library, Manuscript Collections, BL
British Museum
B.M.
The British Library, London, England, United Kingdom",,"Tixall, Staffordshire, England"
"7  1643: Aston, Walter, 1609-1678 (Lichfield, Staffordshire, England, United Kingdom) to Aston, Mary (Lady), 1603-1678 or before (Tixall, Staffordshire, England)","Aston, Walter, 1609-1678","Aston, Mary (Lady), 1603-1678 or before",1643-12-07T00:00:00Z,1643,"British Library, Manuscript Collections, BL
British Museum
B.M.
The British Library, London, England, United Kingdom","Lichfield, Staffordshire, England, United Kingdom","Tixall, Staffordshire, England"
"4 Mar 1644: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Gordon, Jane, d.1675","Rutherford, Samuel, 1600-1661","Gordon, Jane, d.1675",1644-03-04T00:00:00Z,1644,,"London, England, United Kingdom",
"25 May 1644: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Hamilton, Christian, 1593-1646","Rutherford, Samuel, 1600-1661","Hamilton, Christian, 1593-1646",1644-05-25T00:00:00Z,1644,,"London, England, United Kingdom",
"13 Jul 1644: Dury, John, 1596-1680 (The Hague, South Holland, Netherlands) to Appelius, Margaret, née Dury, fl. 1638-1644 (London, England, United Kingdom)","Dury, John, 1596-1680","Appelius, Margaret, née Dury, fl. 1638-1644",1644-07-13T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","The Hague, South Holland, Netherlands","London, England, United Kingdom"
"19 Oct 1644: Hartlib, Samuel, 1600-1662 (London, England, United Kingdom) to Jones, Katherine, 1614-1691 (Rotterdam, South Holland, Netherlands)","Hartlib, Samuel, 1600-1662","Jones, Katherine, 1614-1691",1644-10-19T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","London, England, United Kingdom","Rotterdam, South Holland, Netherlands"
"14 Dec 1644: Dury, John, 1596-1680 (Rotterdam, South Holland, Netherlands) to Jones, Katherine, 1614-1691 (London, England, United Kingdom)","Dury, John, 1596-1680","Jones, Katherine, 1614-1691",1644-12-14T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","Rotterdam, South Holland, Netherlands","London, England, United Kingdom"
"14 Apr 1645: Dury, John, 1596-1680 (Rotterdam, South Holland, Netherlands) to Jones, Katherine, 1614-1691 (London, England, United Kingdom)","Dury, John, 1596-1680","Jones, Katherine, 1614-1691",1645-04-14T00:00:00Z,1645,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","Rotterdam, South Holland, Netherlands","London, England, United Kingdom"
"15 Oct 1645: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Mein, Barbara, fl. 1645","Rutherford, Samuel, 1600-1661","Mein, Barbara, fl. 1645",1645-10-15T00:00:00Z,1645,,"London, England, United Kingdom",
"15 Oct 1645: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Hume, Barbara, fl. 1645","Rutherford, Samuel, 1600-1661","Hume, Barbara, fl. 1645",1645-10-15T00:00:00Z,1645,,"London, England, United Kingdom",
"16 Oct 1645: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Gordon, Jane, d.1675","Rutherford, Samuel, 1600-1661","Gordon, Jane, d.1675",1645-10-16T00:00:00Z,1645,,"London, England, United Kingdom",
"15 Nov 1645: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Mein, Barbara, fl. 1645","Rutherford, Samuel, 1600-1661","Mein, Barbara, fl. 1645",1645-11-15T00:00:00Z,1645,,"London, England, United Kingdom",
"1645: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Taylor (Mistress), fl. 1645","Rutherford, Samuel, 1600-1661","Taylor (Mistress), fl. 1645",1645-12-31T00:00:00Z,1645,,"London, England, United Kingdom",
"9 Jan 1646: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Unknown female","Rutherford, Samuel, 1600-1661",Unknown female,1646-01-09T00:00:00Z,1646,,"London, England, United Kingdom",
"25 Jan 1646: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Gordon, Jane, d.1675","Rutherford, Samuel, 1600-1661","Gordon, Jane, d.1675",1646-01-25T00:00:00Z,1646,,"London, England, United Kingdom",
"16 Feb 1646: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Gordon, Jane, d.1675","Rutherford, Samuel, 1600-1661","Gordon, Jane, d.1675",1646-02-16T00:00:00Z,1646,,"London, England, United Kingdom",
"24 Feb 1646: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Scott, Helen, fl. 1646","Rutherford, Samuel, 1600-1661","Scott, Helen, fl. 1646",1646-02-24T00:00:00Z,1646,,"London, England, United Kingdom",
"30 Mar 1646: Boyle, Robert, 1627-1691 (Stalbridge, Dorset, England) to Jones, Katherine, 1614-1691","Boyle, Robert, 1627-1691","Jones, Katherine, 1614-1691",1646-03-30T00:00:00Z,1646,,"Stalbridge, Dorset, England",
"16 Sep 1646: Charles I, King of England, Scotland, and Ireland, 1600-1649 (Newcastle upon Tyne, Northumberland, England) to Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Charles I, King of England, Scotland, and Ireland, 1600-1649","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660",1646-09-16T00:00:00Z,1646,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Newcastle upon Tyne, Northumberland, England",
"16 Sep 1646: Charles I, King of England, Scotland, and Ireland, 1600-1649 (Newcastle upon Tyne, Northumberland, England) to Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Charles I, King of England, Scotland, and Ireland, 1600-1649","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660",1646-09-16T00:00:00Z,1646,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Newcastle upon Tyne, Northumberland, England",
"27 Feb 1647: Boyle, Robert, 1627-1691 (Stalbridge, Dorset, England) to Jones, Katherine, 1614-1691","Boyle, Robert, 1627-1691","Jones, Katherine, 1614-1691",1647-02-27T00:00:00Z,1647,,"Stalbridge, Dorset, England",
"6 Mar 1647: Boyle, Robert, 1627-1691 (Stalbridge, Dorset, England) to Jones, Katherine, 1614-1691","Boyle, Robert, 1627-1691","Jones, Katherine, 1614-1691",1647-03-06T00:00:00Z,1647,,"Stalbridge, Dorset, England",
"29 Apr 1647: Ashmole, Elias, 1617-1692 (London, England, United Kingdom) to March, Elizabeth, fl. 1634-1647 (France)","Ashmole, Elias, 1617-1692","March, Elizabeth, fl. 1634-1647",1647-04-29T00:00:00Z,1647,,"London, England, United Kingdom",France
"21 Jul 1647: Ashmole, Elias, 1617-1692 (Englefield, West Berkshire, England) to Manwaring, Mary (Lady), 1597-1668","Ashmole, Elias, 1617-1692","Manwaring, Mary (Lady), 1597-1668",1647-07-21T00:00:00Z,1647,,"Englefield, West Berkshire, England",
"31 Mar 1648: James II and VII, King of England, Scotland, and Ireland, 1633-1701 (St James's Palace, St James's, Westminster, London, England, United Kingdom) to Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","James II and VII, King of England, Scotland, and Ireland, 1633-1701","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660",1648-03-31T00:00:00Z,1648,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","St James's Palace, St James's, Westminster, London, England, United Kingdom",
"13 May 1648: Boyle, Robert, 1627-1691 (Stalbridge, Dorset, England) to Jones, Katherine, 1614-1691","Boyle, Robert, 1627-1691","Jones, Katherine, 1614-1691",1648-05-13T00:00:00Z,1648,"Royal Society Library, RS
The Royal Society
The Royal Society of London
The Royal Society of London for Improving Natural Knowledge
Royal Society London, London, England, United Kingdom","Stalbridge, Dorset, England",
"6 Jun 1648: Boyle, Robert, 1627-1691 (London, England, United Kingdom) to Hussey, Elizabeth (Lady), 1591-1658","Boyle, Robert, 1627-1691","Hussey, Elizabeth (Lady), 1591-1658",1648-06-06T00:00:00Z,1648,"Royal Society Library, RS
The Royal Society
The Royal Society of London
The Royal Society of London for Improving Natural Knowledge
Royal Society London, London, England, United Kingdom","London, England, United Kingdom",
"7 Jul 1648: Boyle, Robert, 1627-1691 (London, England, United Kingdom) to Carey, Martha, 1601-1677 (Moor Park, Hertfordshire, England)","Boyle, Robert, 1627-1691","Carey, Martha, 1601-1677",1648-07-07T00:00:00Z,1648,"Royal Society Library, RS
The Royal Society
The Royal Society of London
The Royal Society of London for Improving Natural Knowledge
Royal Society London, London, England, United Kingdom","London, England, United Kingdom","Moor Park, Hertfordshire, England"
