Description,Author,Recipient,Date,Year,Location,Origin,Destination
"24 Aug 1642: Dury, Dorothy Moore (née King), 1612-1664 (The Hague, South Holland, Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1642-08-24T00:00:00Z,1642,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","The Hague, South Holland, Netherlands","London, England, United Kingdom"
"27 Sep 1642: Symonds, Martha, b.1602 to Winthrop, John, 1606-1676 (England)","Symonds, Martha, b.1602","Winthrop, John, 1606-1676",1642-09-27T00:00:00Z,1642,,,England
"10 Oct 1642: Winthrop, Margaret, 1591-1647 (Boston, Massachusetts, United States) to Winthrop, John, 1606-1676 (London, England, United Kingdom)","Winthrop, Margaret, 1591-1647","Winthrop, John, 1606-1676",1642-10-10T00:00:00Z,1642,,"Boston, Massachusetts, United States","London, England, United Kingdom"
"11 Oct 1642: Winthrop, Elizabeth, d.1648 (Cambridge, Massachusetts, United States) to Winthrop, John, 1606-1676","Winthrop, Elizabeth, d.1648","Winthrop, John, 1606-1676",1642-10-11T00:00:00Z,1642,,"Cambridge, Massachusetts, United States",
"7 Nov 1642: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands) to Roe, Thomas (Sir), 1581-1644 (St Martin's Lane, London, England)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Roe, Thomas (Sir), 1581-1644",1642-11-07T00:00:00Z,1642,,"The Hague, South Holland, Netherlands","St Martin's Lane, London, England"
"1642: Downing, Lucy, 1601-1679 to Winthrop, John, 1588-1649 (Boston, Massachusetts, United States)","Downing, Lucy, 1601-1679","Winthrop, John, 1588-1649",1642-12-31T00:00:00Z,1642,,,"Boston, Massachusetts, United States"
"17 Mar 1643: Dury, Dorothy Moore (née King), 1612-1664 (Delft, South Holland, Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1643-03-17T00:00:00Z,1643,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","Delft, South Holland, Netherlands","London, England, United Kingdom"
"30 Jun 1643: Clotworthy, Margaret, fl. 1638-1683 (England) to Dury, John, 1596-1680 (Lower Saxon Imperial Circle, Germany, (Holy Roman Empire))","Clotworthy, Margaret, fl. 1638-1683","Dury, John, 1596-1680",1643-06-30T00:00:00Z,1643,"Sheffield University Library, SUL, Sheffield, England, United Kingdom",England,"Lower Saxon Imperial Circle, Germany, (Holy Roman Empire)"
"8 Feb 1644: Dury, Dorothy Moore (née King), 1612-1664 (Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-02-08T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom",Netherlands,"London, England, United Kingdom"
"8 Mar 1644: Merlen, Hester van, fl. 1644 (London, England, United Kingdom) to Calandrin, Caesar, 1595-1665","Merlen, Hester van, fl. 1644","Calandrin, Caesar, 1595-1665",1644-03-08T00:00:00Z,1644,,"London, England, United Kingdom",
"21 Mar 1644: Merlen, Hester van, fl. 1644 (London, England, United Kingdom) to Calandrin, Caesar, 1595-1665","Merlen, Hester van, fl. 1644","Calandrin, Caesar, 1595-1665",1644-03-21T00:00:00Z,1644,,"London, England, United Kingdom",
"2 May 1644: Dury, Dorothy Moore (née King), 1612-1664 (Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-05-02T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom",Netherlands,"London, England, United Kingdom"
"8 May 1644: Dury, Dorothy Moore (née King), 1612-1664 (London, England, United Kingdom) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-05-08T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","London, England, United Kingdom","London, England, United Kingdom"
"16 Jun 1644: Dury, Dorothy Moore (née King), 1612-1664 (London, England, United Kingdom) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-06-16T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","London, England, United Kingdom","London, England, United Kingdom"
"29 Jul 1644: Dury, Dorothy Moore (née King), 1612-1664 (London, England, United Kingdom) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-07-29T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","London, England, United Kingdom","London, England, United Kingdom"
"29 Sep 1644: Dury, Dorothy Moore (née King), 1612-1664 (The Hague, South Holland, Netherlands) to Charles I Louis, Elector Palatine, 1618-1680 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Charles I Louis, Elector Palatine, 1618-1680",1644-09-29T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","The Hague, South Holland, Netherlands","London, England, United Kingdom"
"29 Sep 1644: Dury, Dorothy Moore (née King), 1612-1664 (The Hague, South Holland, Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-09-29T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","The Hague, South Holland, Netherlands","London, England, United Kingdom"
"13 Oct 1644: Dury, Dorothy Moore (née King), 1612-1664 (The Hague, South Holland, Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-10-13T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","The Hague, South Holland, Netherlands","London, England, United Kingdom"
"5 Dec 1644: Porter, Elizabeth, fl. 1644 (London, England, United Kingdom) to Dutch Church in London, Ministers and Elders of the","Porter, Elizabeth, fl. 1644","Dutch Church in London, Ministers and Elders of the",1644-12-05T00:00:00Z,1644,,"London, England, United Kingdom",
