Description,Author,Recipient,Date,Year,Location,Origin,Destination
"9 Sep 1650: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands) to Villiers, Mary, 1622-1685","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Villiers, Mary, 1622-1685",1650-09-09T00:00:00Z,1650,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","The Hague, South Holland, Netherlands",
"1650: Dury, Dorothy Moore (née King), 1612-1664 (Netherlands) to Jones, Katherine, 1614-1691 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Jones, Katherine, 1614-1691",1650-12-31T00:00:00Z,1650,"British Library, Manuscript Collections, BL
British Museum
B.M.
The British Library, London, England, United Kingdom",Netherlands,"London, England, United Kingdom"
"14 Apr 1651: Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660 (The Hague, South Holland, Netherlands) to Christine Marie de France, 1606-1663","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Christine Marie de France, 1606-1663",1651-04-14T00:00:00Z,1651,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands",
"14 Apr 1651: Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660 (The Hague, South Holland, Netherlands) to Henrietta Maria, Queen consort of Charles I, 1609-1669","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Henrietta Maria, Queen consort of Charles I, 1609-1669",1651-04-14T00:00:00Z,1651,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands",
"29 May 1651: Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660 (The Hague, South Holland, Netherlands) to Lorántffy, Zsuzsánna, 1600-1660","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Lorántffy, Zsuzsánna, 1600-1660",1651-05-29T00:00:00Z,1651,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands",
"30 Jul 1651: Oranje-Nassau, Albertine Agnes van, 1634-1696 (The Hague, South Holland, Netherlands) to Solms-Braunfels, Amalia von, 1602-1675","Oranje-Nassau, Albertine Agnes van, 1634-1696","Solms-Braunfels, Amalia von, 1602-1675",1651-07-30T00:00:00Z,1651,"Tresoar, Fries Historisch en Letterkundig Centrum
Frysk Histoarysk en Letterkundich Sintrum
Provinciale Bibliotheek Friesland
Provincial Libary, Leeuwarden
Tresoar, Frysk Histoarysk en Letterkundich Sintrum, Leeuwarden, Netherlands, Nederland
Holland","The Hague, South Holland, Netherlands",
"14 Aug 1651: Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660 (The Hague, South Holland, Netherlands) to Christine Marie de France, 1606-1663","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Christine Marie de France, 1606-1663",1651-08-14T00:00:00Z,1651,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands",
"13 Sep 1651: Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660 (The Hague, South Holland, Netherlands) to Christine Marie de France, 1606-1663","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Christine Marie de France, 1606-1663",1651-09-13T00:00:00Z,1651,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands",
"1647 to 1651: Moulin, Marie du, 1613-1699 (Breda, North Brabant, Netherlands) to Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands)","Moulin, Marie du, 1613-1699","Schurman, Anna Maria van, 1607-1678",1651-12-31T00:00:00Z,1647,"Universiteit van Amsterdam, Bijzondere Collecties, University of Amsterdam, Special Collections
Universiteitsbibliotheek
Amsterdam University Library
Universiteits Bibliotheek
Universiteitsbibliotheek Amsterdam, Amsterdam, Netherlands, Nederland
Holland","Breda, North Brabant, Netherlands","Utrecht, Utrecht, Netherlands"
"20 Feb 1652: Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660 (The Hague, South Holland, Netherlands) to Nassau, Emilia Secunda Antwerpiana von, 1581-1657","Stuart, Mary (Princess Royal and Princess of Orange), 1631-1660","Nassau, Emilia Secunda Antwerpiana von, 1581-1657",1652-02-20T00:00:00Z,1652,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands",
