Description,Author,Recipient,Date,Year,Location,Origin,Destination
"Jan 1750: Montagu, Mary Wortley (Lady), 1689-1762 to Stuart, Mary, 1718-1794 (Grosvenor Street, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Stuart, Mary, 1718-1794",1750-01-31T00:00:00Z,1750,,,"Grosvenor Street, London, England"
"15 Feb 1750: Temple, Jane Martha, 1672-1751 (Whitehall, Westminster, London, England) to Hanover, Anne of, 1709-1759","Temple, Jane Martha, 1672-1751","Hanover, Anne of, 1709-1759",1750-02-15T00:00:00Z,1750,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","Whitehall, Westminster, London, England",
"2 Mar 1750: Montagu, Mary Wortley (Lady), 1689-1762 to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1750-03-02T00:00:00Z,1750,,,"Dover Street, London, Greater London, England"
"24 May 1750: Montagu, Mary Wortley (Lady), 1689-1762 to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1750-05-24T00:00:00Z,1750,,,"Dover Street, London, Greater London, England"
"23 Jun 1750: Montagu, Mary Wortley (Lady), 1689-1762 to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1750-06-23T00:00:00Z,1750,,,"Dover Street, London, Greater London, England"
"23 Jun 1750: Montagu, Mary Wortley (Lady), 1689-1762 to Stuart, Mary, 1718-1794 (Grosvenor Street, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Stuart, Mary, 1718-1794",1750-06-23T00:00:00Z,1750,,,"Grosvenor Street, London, England"
"13 Jul 1750: Montagu, Mary Wortley (Lady), 1689-1762 to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1750-07-13T00:00:00Z,1750,,,"Dover Street, London, Greater London, England"
"11 Oct 1750: Montagu, Mary Wortley (Lady), 1689-1762 to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1750-10-11T00:00:00Z,1750,,,"Dover Street, London, Greater London, England"
"17 Oct 1750: Montagu, Mary Wortley (Lady), 1689-1762 to Stuart, Mary, 1718-1794 (Temple Bar, Westminster, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Stuart, Mary, 1718-1794",1750-10-17T00:00:00Z,1750,,,"Temple Bar, Westminster, London, England"
"23 Oct 1734 to 23 Oct 1750: Caroline of Great Britain (Princess), 1713-1757 (St James's Palace, St James's, Westminster, London, England, United Kingdom) to Hanover, Anne of, 1709-1759","Caroline of Great Britain (Princess), 1713-1757","Hanover, Anne of, 1709-1759",1750-10-23T00:00:00Z,1734,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","St James's Palace, St James's, Westminster, London, England, United Kingdom",
