Description,Author,Recipient,Date,Year,Location,Origin,Destination
"1 Jan 1763 to 31 Dec 1763: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1763-12-31T00:00:00Z,1763,,,"Paris, Île-de-France, France"
"1 Jan 1763 to 31 Dec 1763: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1763-12-31T00:00:00Z,1763,,,"Paris, Île-de-France, France"
"1 Jan 1763 to 31 Dec 1763: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1763-12-31T00:00:00Z,1763,,,"Paris, Île-de-France, France"
"1 Oct 1764: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1764-10-01T00:00:00Z,1764,,,"Paris, Île-de-France, France"
"6 Nov 1764: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1764-11-06T00:00:00Z,1764,,,"Paris, Île-de-France, France"
"11 Jan 1765: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1765-01-11T00:00:00Z,1765,,,"Paris, Île-de-France, France"
"20 Feb 1765: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1765-02-20T00:00:00Z,1765,,,"Paris, Île-de-France, France"
"28 Mar 1765: Catherine II of Russia (Empress), 1729-1796 (St Petersburg, Sankt-Peterburg, Russia) to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1765-03-28T00:00:00Z,1765,,"St Petersburg, Sankt-Peterburg, Russia","Paris, Île-de-France, France"
"17 May 1765: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1765-05-17T00:00:00Z,1765,,,"Paris, Île-de-France, France"
"18 Jun 1765: Catherine II of Russia (Empress), 1729-1796 (St Petersburg, Sankt-Peterburg, Russia) to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1765-06-18T00:00:00Z,1765,,"St Petersburg, Sankt-Peterburg, Russia","Paris, Île-de-France, France"
"16 Oct 1765: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1765-10-16T00:00:00Z,1765,,,"Paris, Île-de-France, France"
"15 Jan 1766: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1766-01-15T00:00:00Z,1766,,,"Paris, Île-de-France, France"
"6 Apr 1766: Catherine II of Russia (Empress), 1729-1796 (St Petersburg, Sankt-Peterburg, Russia) to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1766-04-06T00:00:00Z,1766,,"St Petersburg, Sankt-Peterburg, Russia","Paris, Île-de-France, France"
"21 Oct 1766: Catherine II of Russia (Empress), 1729-1796 (St Petersburg, Sankt-Peterburg, Russia) to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1766-10-21T00:00:00Z,1766,,"St Petersburg, Sankt-Peterburg, Russia","Paris, Île-de-France, France"
"1 Jan 1768 to 31 Dec 1768: Catherine II of Russia (Empress), 1729-1796 to Rodet Geoffrin, Marie-Thérèse, 1699-1777 (Paris, Île-de-France, France)","Catherine II of Russia (Empress), 1729-1796","Rodet Geoffrin, Marie-Thérèse, 1699-1777",1768-12-31T00:00:00Z,1768,,,"Paris, Île-de-France, France"
