Description,Author,Recipient,Date,Year,Location,Origin,Destination
"12 Dec 1601: Ropal of Ryfmberk, Adam, fl. 1598-1602 (Siena, Tuscany, Italy) to Valdštejn, Kateřina Anna of, fl. 1601","Ropal of Ryfmberk, Adam, fl. 1598-1602","Valdštejn, Kateřina Anna of, fl. 1601",1601-12-12T00:00:00Z,1601,,"Siena, Tuscany, Italy",
"2 Feb 1608: Magni, Giovanni, fl. 1606 (Rome, Latium, Italy) to Medici, Eleonora de', 1567-1611","Magni, Giovanni, fl. 1606","Medici, Eleonora de', 1567-1611",1608-02-02T00:00:00Z,1608,,"Rome, Latium, Italy",
"11 Jun 1620: Huygens, Constantijn, 1596-1687 (Vicenza, Veneto, Italy) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1620-06-11T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Vicenza, Veneto, Italy","The Hague, South Holland, Netherlands"
"18 Jun 1620: Huygens, Constantijn, 1596-1687 (Venice, Veneto, Italy) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1620-06-18T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"18 Jun 1620: Huygens, Constantijn, 1596-1687 (Venice, Veneto, Italy) to Dorp, Dorothée, 1593-1657 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Dorp, Dorothée, 1593-1657",1620-06-18T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"25 Jun 1620: Huygens, Constantijn, 1596-1687 (Venice, Veneto, Italy) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1620-06-25T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"2 Jul 1620: Huygens, Constantijn, 1596-1687 (Venice, Veneto, Italy) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1620-07-02T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"4 Jul 1620: Huygens, Constantijn, 1596-1687 (Venice, Veneto, Italy) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1620-07-04T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"3 Jun 1649: Kircher, Athanasius, 1601-1680 (Rome, Latium, Italy) to Christina, Queen of Sweden, 1626-1689","Kircher, Athanasius, 1601-1680","Christina, Queen of Sweden, 1626-1689",1649-06-03T00:00:00Z,1649,"Archivio della Pontificia Università Gregoriana, Pontificia Università Gregoriana Archive
Archives of the Pontifical Gregorian University, Rome, Italy","Rome, Latium, Italy",
"11 Nov 1651: Kircher, Athanasius, 1601-1680 (Rome, Latium, Italy) to Christina, Queen of Sweden, 1626-1689","Kircher, Athanasius, 1601-1680","Christina, Queen of Sweden, 1626-1689",1651-11-11T00:00:00Z,1651,"Archivio della Pontificia Università Gregoriana, Pontificia Università Gregoriana Archive
Archives of the Pontifical Gregorian University, Rome, Italy","Rome, Latium, Italy",
