Description,Author,Recipient,Date,Year,Location,Origin,Destination
"28 Aug 1718: Montagu, Mary Wortley (Lady), 1689-1762 (Genoa, Liguria, Italy) to Erskine, Frances, 1690-1761","Montagu, Mary Wortley (Lady), 1689-1762","Erskine, Frances, 1690-1761",1718-08-28T00:00:00Z,1718,,"Genoa, Liguria, Italy",
"12 Sep 1718: Montagu, Mary Wortley (Lady), 1689-1762 (Turin, Piedmont, Italy) to Erskine, Frances, 1690-1761","Montagu, Mary Wortley (Lady), 1689-1762","Erskine, Frances, 1690-1761",1718-09-12T00:00:00Z,1718,,"Turin, Piedmont, Italy",
"28 Nov 1736: Manzoni, Francesca, 1710-1743 (Milan, Lombardy, Italy) to Bassi, Laura Maria Caterina, 1711-1788","Manzoni, Francesca, 1710-1743","Bassi, Laura Maria Caterina, 1711-1788",1736-11-28T00:00:00Z,1736,,"Milan, Lombardy, Italy",
"22 May 1737: Manzoni, Francesca, 1710-1743 (Milan, Lombardy, Italy) to Bassi, Laura Maria Caterina, 1711-1788","Manzoni, Francesca, 1710-1743","Bassi, Laura Maria Caterina, 1711-1788",1737-05-22T00:00:00Z,1737,,"Milan, Lombardy, Italy",
"29 Aug 1738: Manzoni, Francesca, 1710-1743 (Milan, Lombardy, Italy) to Bassi, Laura Maria Caterina, 1711-1788","Manzoni, Francesca, 1710-1743","Bassi, Laura Maria Caterina, 1711-1788",1738-08-29T00:00:00Z,1738,,"Milan, Lombardy, Italy",
"11 Sep 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Turin, Piedmont, Italy) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1739-09-11T00:00:00Z,1739,,"Turin, Piedmont, Italy",
"10 Oct 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1739-10-10T00:00:00Z,1739,,"Venice, Veneto, Italy",
"6 Nov 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1739-11-06T00:00:00Z,1739,,"Venice, Veneto, Italy",
"Dec 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1739-12-31T00:00:00Z,1739,,"Venice, Veneto, Italy",
"6 Mar 1740: Manzoni, Francesca, 1710-1743 (Milan, Lombardy, Italy) to Bassi, Laura Maria Caterina, 1711-1788","Manzoni, Francesca, 1710-1743","Bassi, Laura Maria Caterina, 1711-1788",1740-03-06T00:00:00Z,1740,,"Milan, Lombardy, Italy",
"17 May 1740: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1740-05-17T00:00:00Z,1740,,"Venice, Veneto, Italy",
"29 Jun 1740: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1740-06-29T00:00:00Z,1740,,"Venice, Veneto, Italy",
"20 Jul 1740: Manzoni, Francesca, 1710-1743 (Milan, Lombardy, Italy) to Bassi, Laura Maria Caterina, 1711-1788","Manzoni, Francesca, 1710-1743","Bassi, Laura Maria Caterina, 1711-1788",1740-07-20T00:00:00Z,1740,,"Milan, Lombardy, Italy",
"16 Aug 1740: Montagu, Mary Wortley (Lady), 1689-1762 (Bologna, Emilia-Romagna, Italy) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1740-08-16T00:00:00Z,1740,,"Bologna, Emilia-Romagna, Italy",
"25 Nov 1740: Montagu, Mary Wortley (Lady), 1689-1762 (Naples, Campania, Italy) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1740-11-25T00:00:00Z,1740,,"Naples, Campania, Italy",
"20 Jan 1741: Montagu, Mary Wortley (Lady), 1689-1762 (Rome, Latium, Italy) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1741-01-20T00:00:00Z,1741,,"Rome, Latium, Italy",
