Description,Author,Recipient,Date,Year,Location,Origin,Destination
"18 Dec 1524: Dantiscus, Ioannes, 1485-1548 (Madrid, Spain) to Sforza, Bona, Queen of Poland, 1494-1557 ~ Sigismund I, King of Poland, 1467-1548","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557; Sigismund I, King of Poland, 1467-1548",1524-12-18T00:00:00Z,1524,,"Madrid, Spain",
"24 Feb 1526: Dantiscus, Ioannes, 1485-1548 (Toledo, Castille-La Mancha, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1526-02-24T00:00:00Z,1526,,"Toledo, Castille-La Mancha, Spain",
"1 Sep 1526: Dantiscus, Ioannes, 1485-1548 (Granada, Andalusia, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1526-09-01T00:00:00Z,1526,,"Granada, Andalusia, Spain",
"13 Oct 1526: Dantiscus, Ioannes, 1485-1548 (Granada, Andalusia, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1526-10-13T00:00:00Z,1526,,"Granada, Andalusia, Spain",
"6 Dec 1526: Dantiscus, Ioannes, 1485-1548 (Granada, Andalusia, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1526-12-06T00:00:00Z,1526,,"Granada, Andalusia, Spain",
"22 Apr 1527: Dantiscus, Ioannes, 1485-1548 (Valladolid, Castille and León, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1527-04-22T00:00:00Z,1527,,"Valladolid, Castille and León, Spain",
"6 May 1527: Dantiscus, Ioannes, 1485-1548 (Valladolid, Castille and León, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1527-05-06T00:00:00Z,1527,,"Valladolid, Castille and León, Spain",
"21 May 1527: Dantiscus, Ioannes, 1485-1548 (Valladolid, Castille and León, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1527-05-21T00:00:00Z,1527,,"Valladolid, Castille and León, Spain",
"17 Jun 1527: Dantiscus, Ioannes, 1485-1548 (Valladolid, Castille and León, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1527-06-17T00:00:00Z,1527,,"Valladolid, Castille and León, Spain",
"17 Aug 1527: Dantiscus, Ioannes, 1485-1548 (Valladolid, Castille and León, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1527-08-17T00:00:00Z,1527,,"Valladolid, Castille and León, Spain",
"20 Aug 1527: Dantiscus, Ioannes, 1485-1548 (Valladolid, Castille and León, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1527-08-20T00:00:00Z,1527,,"Valladolid, Castille and León, Spain",
"15 Nov 1527: Dantiscus, Ioannes, 1485-1548 (Burgos, Castille and León, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1527-11-15T00:00:00Z,1527,,"Burgos, Castille and León, Spain",
"10 Jan 1528: Dantiscus, Ioannes, 1485-1548 (Burgos, Castille and León, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1528-01-10T00:00:00Z,1528,,"Burgos, Castille and León, Spain",
"20 Feb 1528: Dantiscus, Ioannes, 1485-1548 (Burgos, Castille and León, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1528-02-20T00:00:00Z,1528,,"Burgos, Castille and León, Spain",
"27 Mar 1528: Dantiscus, Ioannes, 1485-1548 (Madrid, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1528-03-27T00:00:00Z,1528,,"Madrid, Spain",
"12 Oct 1528: Dantiscus, Ioannes, 1485-1548 (Madrid, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1528-10-12T00:00:00Z,1528,,"Madrid, Spain",
"19 Nov 1528: Dantiscus, Ioannes, 1485-1548 (Toledo, Castille-La Mancha, Spain) to Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548","Sforza, Bona, Queen of Poland, 1494-1557",1528-11-19T00:00:00Z,1528,,"Toledo, Castille-La Mancha, Spain",
"11 Sep 1587: León, Luis de, 1527-1591 (Madrid, Spain) to Discalced Carmelite Monastery of Santa Ana, Madrid, nuns of the ~ Ana de Jesús, 1545-1621 (Madrid, Spain)","León, Luis de, 1527-1591","Ana de Jesús, 1545-1621; Discalced Carmelite Monastery of Santa Ana, Madrid, nuns of the",1587-09-11T00:00:00Z,1587,,"Madrid, Spain","Madrid, Spain"
"13 Sep 1631: Philip IV, King of Spain, 1605-1665 (Madrid, Spain) to Medici, Marie de', Queen consort of Henry IV, 1575-1642","Philip IV, King of Spain, 1605-1665","Medici, Marie de', Queen consort of Henry IV, 1575-1642",1631-09-13T00:00:00Z,1631,,"Madrid, Spain",
"10 Oct 1679: Huygens, Constantijn, 1596-1687 (The Hague, South Holland, Netherlands) to Chièze (Madame) (Madrid, Spain)","Huygens, Constantijn, 1596-1687",Chièze (Madame),1679-10-10T00:00:00Z,1679,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","The Hague, South Holland, Netherlands","Madrid, Spain"
"29 Mar 1685: Charles II of Spain, 1661-1700 (Madrid, Spain) to Mary II, Queen of England, Scotland, and Ireland, 1662-1694","Charles II of Spain, 1661-1700","Mary II, Queen of England, Scotland, and Ireland, 1662-1694",1685-03-29T00:00:00Z,1685,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","Madrid, Spain",
"21 May 1689: Charles II of Spain, 1661-1700 (Madrid, Spain) to Mary II, Queen of England, Scotland, and Ireland, 1662-1694","Charles II of Spain, 1661-1700","Mary II, Queen of England, Scotland, and Ireland, 1662-1694",1689-05-21T00:00:00Z,1689,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","Madrid, Spain",
"21 Apr 1753: Ortega, José, fl. 1753 (Barcelona, Catalonia, Spain) to Bassi, Laura Maria Caterina, 1711-1788","Ortega, José, fl. 1753","Bassi, Laura Maria Caterina, 1711-1788",1753-04-21T00:00:00Z,1753,,"Barcelona, Catalonia, Spain",
"11 Jun 1755: Kam, Adriaan van der, fl. 1755 (Alicante, Valencia, Spain) to Hanover, Anne of, 1709-1759","Kam, Adriaan van der, fl. 1755","Hanover, Anne of, 1709-1759",1755-06-11T00:00:00Z,1755,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","Alicante, Valencia, Spain",
