Description,Author,Recipient,Date,Year,Location,Origin,Destination
"30 Jul 1524: Sforza, Bona, Queen of Poland, 1494-1557 (Kraków,  Lesser Poland Voivodeship , Poland) to Dantiscus, Ioannes, 1485-1548 (Valladolid, Castille and León, Spain)","Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548",1524-07-30T00:00:00Z,1524,,"Kraków,  Lesser Poland Voivodeship , Poland","Valladolid, Castille and León, Spain"
"28 Feb 1525: Sforza, Bona, Queen of Poland, 1494-1557 (Kraków,  Lesser Poland Voivodeship , Poland) to Dantiscus, Ioannes, 1485-1548 (Cantillana, Andalusia, Spain)","Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548",1525-02-28T00:00:00Z,1525,,"Kraków,  Lesser Poland Voivodeship , Poland","Cantillana, Andalusia, Spain"
"14 Mar 1525: Sforza, Bona, Queen of Poland, 1494-1557 (Kraków,  Lesser Poland Voivodeship , Poland) to Dantiscus, Ioannes, 1485-1548 (Toledo, Castille-La Mancha, Spain)","Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548",1525-03-14T00:00:00Z,1525,,"Kraków,  Lesser Poland Voivodeship , Poland","Toledo, Castille-La Mancha, Spain"
"15 Mar 1525: Sforza, Bona, Queen of Poland, 1494-1557 (Kraków,  Lesser Poland Voivodeship , Poland) to Dantiscus, Ioannes, 1485-1548 (Toledo, Castille-La Mancha, Spain)","Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548",1525-03-15T00:00:00Z,1525,,"Kraków,  Lesser Poland Voivodeship , Poland","Toledo, Castille-La Mancha, Spain"
"25 Apr 1525: Sforza, Bona, Queen of Poland, 1494-1557 (Kraków,  Lesser Poland Voivodeship , Poland) to Dantiscus, Ioannes, 1485-1548 (Toledo, Castille-La Mancha, Spain)","Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548",1525-04-25T00:00:00Z,1525,,"Kraków,  Lesser Poland Voivodeship , Poland","Toledo, Castille-La Mancha, Spain"
"12 Jun 1525: Sigismund I, King of Poland, 1467-1548 ~ Sforza, Bona, Queen of Poland, 1494-1557 (Kraków,  Lesser Poland Voivodeship , Poland) to Dantiscus, Ioannes, 1485-1548 (Toledo, Castille-La Mancha, Spain)","Sforza, Bona, Queen of Poland, 1494-1557; Sigismund I, King of Poland, 1467-1548","Dantiscus, Ioannes, 1485-1548",1525-06-12T00:00:00Z,1525,,"Kraków,  Lesser Poland Voivodeship , Poland","Toledo, Castille-La Mancha, Spain"
"13 Jun 1525: Sforza, Bona, Queen of Poland, 1494-1557 (Kraków,  Lesser Poland Voivodeship , Poland) to Dantiscus, Ioannes, 1485-1548 (Toledo, Castille-La Mancha, Spain)","Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548",1525-06-13T00:00:00Z,1525,,"Kraków,  Lesser Poland Voivodeship , Poland","Toledo, Castille-La Mancha, Spain"
"5 Jul 1525: Sforza, Bona, Queen of Poland, 1494-1557 (Kraków,  Lesser Poland Voivodeship , Poland) to Dantiscus, Ioannes, 1485-1548 (Toledo, Castille-La Mancha, Spain)","Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548",1525-07-05T00:00:00Z,1525,,"Kraków,  Lesser Poland Voivodeship , Poland","Toledo, Castille-La Mancha, Spain"
"24 Aug 1525: Sforza, Bona, Queen of Poland, 1494-1557 (Kraków,  Lesser Poland Voivodeship , Poland) to Dantiscus, Ioannes, 1485-1548 (Toledo, Castille-La Mancha, Spain)","Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548",1525-08-24T00:00:00Z,1525,,"Kraków,  Lesser Poland Voivodeship , Poland","Toledo, Castille-La Mancha, Spain"
"26 Aug 1525: Sforza, Bona, Queen of Poland, 1494-1557 (Kraków,  Lesser Poland Voivodeship , Poland) to Dantiscus, Ioannes, 1485-1548 (Toledo, Castille-La Mancha, Spain)","Sforza, Bona, Queen of Poland, 1494-1557","Dantiscus, Ioannes, 1485-1548",1525-08-26T00:00:00Z,1525,,"Kraków,  Lesser Poland Voivodeship , Poland","Toledo, Castille-La Mancha, Spain"
