Description,Author,Recipient,Date,Year,Location,Origin,Destination
"6 Jul 1741: Montagu, Mary Wortley (Lady), 1689-1762 to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1741-07-06T00:00:00Z,1741,,,"Madrid, Spain"
"9 Sep 1741: Montagu, Mary Wortley (Lady), 1689-1762 to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1741-09-09T00:00:00Z,1741,,,"Madrid, Spain"
"20 May 1742: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1742-05-20T00:00:00Z,1742,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"1 Sep 1742: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1742-09-01T00:00:00Z,1742,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"20 Jan 1743: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1743-01-20T00:00:00Z,1743,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"4 May 1743: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1743-05-04T00:00:00Z,1743,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"29 Aug 1743: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1743-08-29T00:00:00Z,1743,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"7 Nov 1743: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1743-11-07T00:00:00Z,1743,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"15 Jan 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1744-01-15T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"3 Jul 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1744-07-03T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"12 Jul 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1744-07-12T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"22 Mar: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",9999-03-22T00:00:00Z,,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
