Description,Author,Recipient,Date,Year,Location,Origin,Destination
"21 Aug 1640: Hartlib, Samuel, 1600-1662 (London, England, United Kingdom) to Barrington, Joan, 1558-1641 (England)","Hartlib, Samuel, 1600-1662","Barrington, Joan, 1558-1641",1640-08-21T00:00:00Z,1640,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","London, England, United Kingdom",England
"15 Feb 1641: Junius, Franciscus, 1591-1677 (London, England, United Kingdom) to Vossius, Elizabeth, 1585-1659 (Amsterdam, North Holland, (United Provinces) Netherlands)","Junius, Franciscus, 1591-1677","Vossius, Elizabeth, 1585-1659",1641-02-15T00:00:00Z,1641,"British Library, Manuscript Collections, BL
British Museum
B.M.
The British Library, London, England, United Kingdom","London, England, United Kingdom","Amsterdam, North Holland, (United Provinces) Netherlands"
"9 Aug 1641: Junius, Franciscus, 1591-1677 (London, England, United Kingdom) to Vossius, Elizabeth, 1585-1659 (Amsterdam, North Holland, (United Provinces) Netherlands)","Junius, Franciscus, 1591-1677","Vossius, Elizabeth, 1585-1659",1641-08-09T00:00:00Z,1641,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","London, England, United Kingdom","Amsterdam, North Holland, (United Provinces) Netherlands"
"11 May 1643: Clifton, Lawrence, fl. 1643 (London, England, United Kingdom) to Clifton, mother of Lawrence Clifton, fl. 1643","Clifton, Lawrence, fl. 1643","Clifton, mother of Lawrence Clifton, fl. 1643",1643-05-11T00:00:00Z,1643,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","London, England, United Kingdom",
"4 Mar 1644: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Gordon, Jane, d.1675","Rutherford, Samuel, 1600-1661","Gordon, Jane, d.1675",1644-03-04T00:00:00Z,1644,,"London, England, United Kingdom",
"25 May 1644: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Hamilton, Christian, 1593-1646","Rutherford, Samuel, 1600-1661","Hamilton, Christian, 1593-1646",1644-05-25T00:00:00Z,1644,,"London, England, United Kingdom",
"19 Oct 1644: Hartlib, Samuel, 1600-1662 (London, England, United Kingdom) to Jones, Katherine, 1614-1691 (Rotterdam, South Holland, Netherlands)","Hartlib, Samuel, 1600-1662","Jones, Katherine, 1614-1691",1644-10-19T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","London, England, United Kingdom","Rotterdam, South Holland, Netherlands"
"15 Oct 1645: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Mein, Barbara, fl. 1645","Rutherford, Samuel, 1600-1661","Mein, Barbara, fl. 1645",1645-10-15T00:00:00Z,1645,,"London, England, United Kingdom",
"15 Oct 1645: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Hume, Barbara, fl. 1645","Rutherford, Samuel, 1600-1661","Hume, Barbara, fl. 1645",1645-10-15T00:00:00Z,1645,,"London, England, United Kingdom",
"16 Oct 1645: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Gordon, Jane, d.1675","Rutherford, Samuel, 1600-1661","Gordon, Jane, d.1675",1645-10-16T00:00:00Z,1645,,"London, England, United Kingdom",
"15 Nov 1645: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Mein, Barbara, fl. 1645","Rutherford, Samuel, 1600-1661","Mein, Barbara, fl. 1645",1645-11-15T00:00:00Z,1645,,"London, England, United Kingdom",
"1645: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Taylor (Mistress), fl. 1645","Rutherford, Samuel, 1600-1661","Taylor (Mistress), fl. 1645",1645-12-31T00:00:00Z,1645,,"London, England, United Kingdom",
"9 Jan 1646: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Unknown female","Rutherford, Samuel, 1600-1661",Unknown female,1646-01-09T00:00:00Z,1646,,"London, England, United Kingdom",
"25 Jan 1646: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Gordon, Jane, d.1675","Rutherford, Samuel, 1600-1661","Gordon, Jane, d.1675",1646-01-25T00:00:00Z,1646,,"London, England, United Kingdom",
"16 Feb 1646: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Gordon, Jane, d.1675","Rutherford, Samuel, 1600-1661","Gordon, Jane, d.1675",1646-02-16T00:00:00Z,1646,,"London, England, United Kingdom",
"24 Feb 1646: Rutherford, Samuel, 1600-1661 (London, England, United Kingdom) to Scott, Helen, fl. 1646","Rutherford, Samuel, 1600-1661","Scott, Helen, fl. 1646",1646-02-24T00:00:00Z,1646,,"London, England, United Kingdom",
"29 Apr 1647: Ashmole, Elias, 1617-1692 (London, England, United Kingdom) to March, Elizabeth, fl. 1634-1647 (France)","Ashmole, Elias, 1617-1692","March, Elizabeth, fl. 1634-1647",1647-04-29T00:00:00Z,1647,,"London, England, United Kingdom",France
"6 Jun 1648: Boyle, Robert, 1627-1691 (London, England, United Kingdom) to Hussey, Elizabeth (Lady), 1591-1658","Boyle, Robert, 1627-1691","Hussey, Elizabeth (Lady), 1591-1658",1648-06-06T00:00:00Z,1648,"Royal Society Library, RS
The Royal Society
The Royal Society of London
The Royal Society of London for Improving Natural Knowledge
Royal Society London, London, England, United Kingdom","London, England, United Kingdom",
"7 Jul 1648: Boyle, Robert, 1627-1691 (London, England, United Kingdom) to Carey, Martha, 1601-1677 (Moor Park, Hertfordshire, England)","Boyle, Robert, 1627-1691","Carey, Martha, 1601-1677",1648-07-07T00:00:00Z,1648,"Royal Society Library, RS
The Royal Society
The Royal Society of London
The Royal Society of London for Improving Natural Knowledge
Royal Society London, London, England, United Kingdom","London, England, United Kingdom","Moor Park, Hertfordshire, England"
"14 Jul 1648: Evelyn, John, 1620-1706 (London, England, United Kingdom) to Cotton, Mary, d.1664","Evelyn, John, 1620-1706","Cotton, Mary, d.1664",1648-07-14T00:00:00Z,1648,"British Library, Manuscript Collections, BL
British Museum
B.M.
The British Library, London, England, United Kingdom","London, England, United Kingdom",
"10 Oct 1648: Hartlib, Samuel, 1600-1662 (London, England, United Kingdom) to Barrington, Judith, d.1657 ~ Stoughton, Mary, d.1634 (London, England, United Kingdom)","Hartlib, Samuel, 1600-1662","Barrington, Judith, d.1657; Stoughton, Mary, d.1634",1648-10-10T00:00:00Z,1648,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","London, England, United Kingdom","London, England, United Kingdom"
"21 Dec 1649: Boyle, Robert, 1627-1691 (London, England, United Kingdom) to Barry, Alice, 1607-1666","Boyle, Robert, 1627-1691","Barry, Alice, 1607-1666",1649-12-21T00:00:00Z,1649,"Royal Society Library, RS
The Royal Society
The Royal Society of London
The Royal Society of London for Improving Natural Knowledge
Royal Society London, London, England, United Kingdom","London, England, United Kingdom",
"12 Feb 1652: Evelyn, John, 1620-1706 (London, England, United Kingdom) to Evelyn, Mary, 1635-1709","Evelyn, John, 1620-1706","Evelyn, Mary, 1635-1709",1652-02-12T00:00:00Z,1652,"British Library, Manuscript Collections, BL
British Museum
B.M.
The British Library, London, England, United Kingdom","London, England, United Kingdom",
"27 Jul 1654: Ussher, James, 1581-1656 (London, England, United Kingdom) to Tyrell, Elizabeth, 1619-1693","Ussher, James, 1581-1656","Tyrell, Elizabeth, 1619-1693",1654-07-27T00:00:00Z,1654,"British Library, Manuscript Collections, BL
British Museum
B.M.
The British Library, London, England, United Kingdom","London, England, United Kingdom",
"10 Jul 1654: Howgill, Francis, 1618-1669 ~ Pearson, Anthony, 1628-1670 (London, England, United Kingdom) to Fell, Margaret, 1614-1702","Howgill, Francis, 1618-1669; Pearson, Anthony, 1628-1670","Fell, Margaret, 1614-1702",1654-07-31T00:00:00Z,1654,"Society of Friends, Library of the, Friends House London
Library of the Society of Friends
Society of Friends
Friends Library, London, England, United Kingdom","London, England, United Kingdom",
