Description,Author,Recipient,Date,Year,Location,Origin,Destination
"11 Oct 1640: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands) to Roe, Thomas (Sir), 1581-1644 (London, England, United Kingdom)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Roe, Thomas (Sir), 1581-1644",1640-10-11T00:00:00Z,1640,,"The Hague, South Holland, Netherlands","London, England, United Kingdom"
"24 Aug 1642: Dury, Dorothy Moore (née King), 1612-1664 (The Hague, South Holland, Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1642-08-24T00:00:00Z,1642,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","The Hague, South Holland, Netherlands","London, England, United Kingdom"
"10 Oct 1642: Winthrop, Margaret, 1591-1647 (Boston, Massachusetts, United States) to Winthrop, John, 1606-1676 (London, England, United Kingdom)","Winthrop, Margaret, 1591-1647","Winthrop, John, 1606-1676",1642-10-10T00:00:00Z,1642,,"Boston, Massachusetts, United States","London, England, United Kingdom"
"17 Mar 1643: Dury, Dorothy Moore (née King), 1612-1664 (Delft, South Holland, Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1643-03-17T00:00:00Z,1643,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","Delft, South Holland, Netherlands","London, England, United Kingdom"
"8 Feb 1644: Dury, Dorothy Moore (née King), 1612-1664 (Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-02-08T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom",Netherlands,"London, England, United Kingdom"
"2 May 1644: Dury, Dorothy Moore (née King), 1612-1664 (Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-05-02T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom",Netherlands,"London, England, United Kingdom"
"8 May 1644: Dury, Dorothy Moore (née King), 1612-1664 (London, England, United Kingdom) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-05-08T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","London, England, United Kingdom","London, England, United Kingdom"
"16 Jun 1644: Dury, Dorothy Moore (née King), 1612-1664 (London, England, United Kingdom) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-06-16T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","London, England, United Kingdom","London, England, United Kingdom"
"29 Jul 1644: Dury, Dorothy Moore (née King), 1612-1664 (London, England, United Kingdom) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-07-29T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","London, England, United Kingdom","London, England, United Kingdom"
"29 Sep 1644: Dury, Dorothy Moore (née King), 1612-1664 (The Hague, South Holland, Netherlands) to Charles I Louis, Elector Palatine, 1618-1680 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Charles I Louis, Elector Palatine, 1618-1680",1644-09-29T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","The Hague, South Holland, Netherlands","London, England, United Kingdom"
"29 Sep 1644: Dury, Dorothy Moore (née King), 1612-1664 (The Hague, South Holland, Netherlands) to Hartlib, Samuel, 1600-1662 (London, England, United Kingdom)","Dury, Dorothy Moore (née King), 1612-1664","Hartlib, Samuel, 1600-1662",1644-09-29T00:00:00Z,1644,"Sheffield University Library, SUL, Sheffield, England, United Kingdom","The Hague, South Holland, Netherlands","London, England, United Kingdom"
