Description,Author,Recipient,Date,Year,Location,Origin,Destination
"21 Dec 1503 to 31 Dec 1503: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Pirckheimer, Caritas, 1467-1532",1503-12-31T00:00:00Z,1503,,"Nuremberg, Bavaria, Germany","Klarissenkloster St Klara, Nuremberg, Bavaria, Germany"
"21 Dec 1503 to 13 Mar 1504: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Pirckheimer, Caritas, 1467-1532",1504-03-13T00:00:00Z,1503,,"Nuremberg, Bavaria, Germany","Klarissenkloster St Klara, Nuremberg, Bavaria, Germany"
"12 May 1507: Scheurl, Christoph, 1481-1542 (Wittenberg, Saxony-Anhalt, Germany) to Pirckheimer, Caritas, 1467-1532","Scheurl, Christoph, 1481-1542","Pirckheimer, Caritas, 1467-1532",1507-05-12T00:00:00Z,1507,,"Wittenberg, Saxony-Anhalt, Germany",
"Sep 1507: Scheurl, Christoph, 1481-1542 (Wittenberg, Saxony-Anhalt, Germany) to Pirckheimer, Caritas, 1467-1532","Scheurl, Christoph, 1481-1542","Pirckheimer, Caritas, 1467-1532",1507-09-30T00:00:00Z,1507,,"Wittenberg, Saxony-Anhalt, Germany",
"5 Jan 1509: Scheurl, Christoph, 1481-1542 (Wittenberg, Saxony-Anhalt, Germany) to Pirckheimer, Caritas, 1467-1532 ~ Tucher, Apollonia, 1460-1533","Scheurl, Christoph, 1481-1542","Pirckheimer, Caritas, 1467-1532; Tucher, Apollonia, 1460-1533",1509-01-05T00:00:00Z,1509,,"Wittenberg, Saxony-Anhalt, Germany",
"18 Mar 1512: Eck, Johann Maier von, 1486-1543 (Ingolstadt, Bavaria, Germany, (Holy Roman Empire)) to Kunigunde of Austria, 1465-1520","Eck, Johann Maier von, 1486-1543","Kunigunde of Austria, 1465-1520",1512-03-18T00:00:00Z,1512,"Bayerische Staatsbibliothek, Bibliotheca Regia Monacensis
BSB
Die Bayerische Staatsbibliothek
Munich Bayerische Staatsbibliothek
Staatsbibliothek München, Munich, München, Germany, Universitätsbibliothek der Ludwig-Maximilians-Universität, LMU
Universitätsbibliothek, München
Universitätsbibliothek der LMU München
UB University of Munich - Central Library, Munich, München, Germany","Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",
"1 Jun 1513: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Pirckheimer, Caritas, 1467-1532",1513-06-01T00:00:00Z,1513,,"Nuremberg, Bavaria, Germany","Klarissenkloster St Klara, Nuremberg, Bavaria, Germany"
"29 Apr 1514: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Stetten, Katharina von, fl. 1501-1520 (Geisenfeld Abbey, Geisenfeld, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Stetten, Katharina von, fl. 1501-1520",1514-04-29T00:00:00Z,1514,,"Nuremberg, Bavaria, Germany","Geisenfeld Abbey, Geisenfeld, Bavaria, Germany"
"8 Aug 1514: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Stetten, Katharina von, fl. 1501-1520 (Geisenfeld Abbey, Geisenfeld, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Stetten, Katharina von, fl. 1501-1520",1514-08-08T00:00:00Z,1514,,"Nuremberg, Bavaria, Germany","Geisenfeld Abbey, Geisenfeld, Bavaria, Germany"
"29 Dec 1515: Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany) to Pirckheimer, Klara, 1480-1533 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany)","Pirckheimer, Willibald, 1470-1530","Pirckheimer, Klara, 1480-1533",1515-12-29T00:00:00Z,1515,,"Nuremberg, Bavaria, Germany","Klarissenkloster St Klara, Nuremberg, Bavaria, Germany"
