Description,Author,Recipient,Date,Year,Location,Origin,Destination
"19 Mar 1502 to 26 Mar 1502: Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Caritas, 1467-1532","Pirckheimer, Willibald, 1470-1530",1502-03-26T00:00:00Z,1502,,"Klarissenkloster St Klara, Nuremberg, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"25 Apr 1502: Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany) to Celtis, Konrad, 1459-1508","Pirckheimer, Caritas, 1467-1532","Celtis, Konrad, 1459-1508",1502-04-25T00:00:00Z,1502,,"Klarissenkloster St Klara, Nuremberg, Bavaria, Germany",
"5 Apr 1502 to 25 Apr 1502: Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Caritas, 1467-1532","Pirckheimer, Willibald, 1470-1530",1502-04-25T00:00:00Z,1502,,"Klarissenkloster St Klara, Nuremberg, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"1 Jan 1502 to 31 Dec 1502: Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Caritas, 1467-1532","Pirckheimer, Willibald, 1470-1530",1502-12-31T00:00:00Z,1502,,"Klarissenkloster St Klara, Nuremberg, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"21 Dec 1505: Pirckheimer, Sabina, 1482-1529 ~ Pirckheimer, Eufemia, 1486-1547 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Eufemia, 1486-1547; Pirckheimer, Sabina, 1482-1529","Pirckheimer, Willibald, 1470-1530",1505-12-21T00:00:00Z,1505,,"Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"9 Jan 1506: Habermayerin, Katharina, fl. 1488-1506 (Marienburg Abbey, Abenberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Habermayerin, Katharina, fl. 1488-1506","Pirckheimer, Willibald, 1470-1530",1506-01-09T00:00:00Z,1506,,"Marienburg Abbey, Abenberg, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"26 Jan 1506: Pirckheimer, Katharina (the elder), b.1476 (Geisenfeld Abbey, Geisenfeld, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Katharina (the elder), b.1476","Pirckheimer, Willibald, 1470-1530",1506-01-26T00:00:00Z,1506,,"Geisenfeld Abbey, Geisenfeld, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"2 Mar 1506: Murr, Eufemia von, d.1521 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Murr, Eufemia von, d.1521","Pirckheimer, Willibald, 1470-1530",1506-03-02T00:00:00Z,1506,,"Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"2 Mar 1506: Pirckheimer, Sabina, 1482-1529 ~ Pirckheimer, Eufemia, 1486-1547 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Eufemia, 1486-1547; Pirckheimer, Sabina, 1482-1529","Pirckheimer, Willibald, 1470-1530",1506-03-02T00:00:00Z,1506,,"Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"12 Mar 1506: Diethay, Elisabeth, fl. 1506 (Nördlingen, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Diethay, Elisabeth, fl. 1506","Pirckheimer, Willibald, 1470-1530",1506-03-12T00:00:00Z,1506,,"Nördlingen, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"14 May 1506: Pirckheimer, Katharina (the elder), b.1476 (Geisenfeld Abbey, Geisenfeld, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Katharina (the elder), b.1476","Pirckheimer, Willibald, 1470-1530",1506-05-14T00:00:00Z,1506,,"Geisenfeld Abbey, Geisenfeld, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"10 Jul 1506: Pirckheimer, Katharina (the elder), b.1476 (Geisenfeld Abbey, Geisenfeld, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Katharina (the elder), b.1476","Pirckheimer, Willibald, 1470-1530",1506-07-10T00:00:00Z,1506,,"Geisenfeld Abbey, Geisenfeld, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"23 Oct 1506: Pirckheimer, Sabina, 1482-1529 ~ Pirckheimer, Eufemia, 1486-1547 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Eufemia, 1486-1547; Pirckheimer, Sabina, 1482-1529","Pirckheimer, Willibald, 1470-1530",1506-10-23T00:00:00Z,1506,,"Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"12 Nov 1506: Pirckheimer, Katharina (the elder), b.1476 (Geisenfeld Abbey, Geisenfeld, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Katharina (the elder), b.1476","Pirckheimer, Willibald, 1470-1530",1506-11-12T00:00:00Z,1506,,"Geisenfeld Abbey, Geisenfeld, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"8 Feb 1507: Murr, Eufemia von, d.1521 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Murr, Eufemia von, d.1521","Pirckheimer, Willibald, 1470-1530",1507-02-08T00:00:00Z,1507,,"Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"11 Feb 1507: Herden, Katharina, d.1512 (Marienstein Abbey, Marienstein, Eichstätt, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Herden, Katharina, d.1512","Pirckheimer, Willibald, 1470-1530",1507-02-11T00:00:00Z,1507,,"Marienstein Abbey, Marienstein, Eichstätt, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"23 Feb 1507: Pirckheimer, Sabina, 1482-1529 ~ Pirckheimer, Eufemia, 1486-1547 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Eufemia, 1486-1547; Pirckheimer, Sabina, 1482-1529","Pirckheimer, Willibald, 1470-1530",1507-02-23T00:00:00Z,1507,,"Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"25 May 1507: Pirckheimer, Walburg, 1468-1541 (Munich, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Walburg, 1468-1541","Pirckheimer, Willibald, 1470-1530",1507-05-25T00:00:00Z,1507,,"Munich, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"27 Jun 1509 to 31 Dec 1512: Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530","Pirckheimer, Caritas, 1467-1532","Pirckheimer, Willibald, 1470-1530",1512-12-31T00:00:00Z,1509,,"Klarissenkloster St Klara, Nuremberg, Bavaria, Germany",
"27 Jun 1509 to 31 Dec 1512: Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530","Pirckheimer, Caritas, 1467-1532","Pirckheimer, Willibald, 1470-1530",1512-12-31T00:00:00Z,1509,,"Klarissenkloster St Klara, Nuremberg, Bavaria, Germany",
"1 Jul 1513 to 31 Jul 1513: Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530","Pirckheimer, Caritas, 1467-1532","Pirckheimer, Willibald, 1470-1530",1513-07-31T00:00:00Z,1513,,"Klarissenkloster St Klara, Nuremberg, Bavaria, Germany",
"15 Mar 1517: Thoe Schwartzenberg and Hohenlansberg, Francoise, 1705-1780 (Ingolstadt, Bavaria, Germany, (Holy Roman Empire)) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Thoe Schwartzenberg and Hohenlansberg, Francoise, 1705-1780","Pirckheimer, Willibald, 1470-1530",1517-03-15T00:00:00Z,1517,,"Ingolstadt, Bavaria, Germany, (Holy Roman Empire)","Nuremberg, Bavaria, Germany"
"15 Jun 1517 to 15 Jul 1517: Pirckheimer, Klara, 1480-1533 (Nuremberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Klara, 1480-1533","Pirckheimer, Willibald, 1470-1530",1517-07-15T00:00:00Z,1517,,"Nuremberg, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"12 Dec 1517: Murr, Eufemia von, d.1521 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Murr, Eufemia von, d.1521","Pirckheimer, Willibald, 1470-1530",1517-12-12T00:00:00Z,1517,,"Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"12 Dec 1517: Pirckheimer, Sabina, 1482-1529 ~ Pirckheimer, Eufemia, 1486-1547 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Eufemia, 1486-1547; Pirckheimer, Sabina, 1482-1529","Pirckheimer, Willibald, 1470-1530",1517-12-12T00:00:00Z,1517,,"Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"1 Jan 1517 to 31 Dec 1517: Pirckheimer, Katharina (the younger), 1498-1563 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Katharina (the younger), 1498-1563","Pirckheimer, Willibald, 1470-1530",1517-12-31T00:00:00Z,1517,,"Klarissenkloster St Klara, Nuremberg, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"1 Jan 1517 to 31 Dec 1517: Pirckheimer, Caritas, 1467-1532 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Caritas, 1467-1532","Pirckheimer, Willibald, 1470-1530",1517-12-31T00:00:00Z,1517,,"Klarissenkloster St Klara, Nuremberg, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"1 Jan 1518 to 10 Jan 1518: Pirckheimer, Caritas (the younger), 1503-1554 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Caritas (the younger), 1503-1554","Pirckheimer, Willibald, 1470-1530",1518-01-10T00:00:00Z,1518,,"Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"25 Jan 1518: Pirckheimer, Sabina, 1482-1529 ~ Pirckheimer, Eufemia, 1486-1547 (Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530 (Nuremberg, Bavaria, Germany)","Pirckheimer, Eufemia, 1486-1547; Pirckheimer, Sabina, 1482-1529","Pirckheimer, Willibald, 1470-1530",1518-01-25T00:00:00Z,1518,,"Bergen Abbey, Bergen bei Neuburg, Neuburg an der Donau, Bavaria, Germany","Nuremberg, Bavaria, Germany"
"23 Jan 1515 to 8 Feb 1518: Pirckheimer, Katharina (the younger), 1498-1563 (Klarissenkloster St Klara, Nuremberg, Bavaria, Germany) to Pirckheimer, Willibald, 1470-1530","Pirckheimer, Katharina (the younger), 1498-1563","Pirckheimer, Willibald, 1470-1530",1518-02-08T00:00:00Z,1515,,"Klarissenkloster St Klara, Nuremberg, Bavaria, Germany",
