Description,Author,Recipient,Date,Year,Location,Origin,Destination
"1622: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Cats, Jacob, 1577-1660","Schurman, Anna Maria van, 1607-1678","Cats, Jacob, 1577-1660",1622-12-31T00:00:00Z,1622,"Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland, Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland, Tresoar, Fries Historisch en Letterkundig Centrum
Frysk Histoarysk en Letterkundich Sintrum
Provinciale Bibliotheek Friesland
Provincial Libary, Leeuwarden
Tresoar, Frysk Histoarysk en Letterkundich Sintrum, Leeuwarden, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands",
"9 May 1629: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Staeckmans, Willem, 1597-1641","Schurman, Anna Maria van, 1607-1678","Staeckmans, Willem, 1597-1641",1629-05-09T00:00:00Z,1629,,"Utrecht, Utrecht, Netherlands",
"20 Jul 1631: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Leiden, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1631-07-20T00:00:00Z,1631,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Leiden, South Holland, Netherlands"
"2 Jan 1632 to 1 Jan 1632: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Leiden, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1632-01-02T00:00:00Z,1632,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland, Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland, Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Leiden, South Holland, Netherlands"
"2 Jan 1632: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Leiden, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1632-01-02T00:00:00Z,1632,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland, Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Leiden, South Holland, Netherlands"
"25 Mar 1632: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (The Hague, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1632-03-25T00:00:00Z,1632,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
"20 Apr 1632: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (The Hague, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1632-04-20T00:00:00Z,1632,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
"18 Sep 1632: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Heinsius, Daniel, 1580-1655","Schurman, Anna Maria van, 1607-1678","Heinsius, Daniel, 1580-1655",1632-09-18T00:00:00Z,1632,"Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland, Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland, Tresoar, Fries Historisch en Letterkundig Centrum
Frysk Histoarysk en Letterkundich Sintrum
Provinciale Bibliotheek Friesland
Provincial Libary, Leeuwarden
Tresoar, Frysk Histoarysk en Letterkundich Sintrum, Leeuwarden, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands",
"20 Jul 1631 to 1632: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Leiden, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1632-12-31T00:00:00Z,1631,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Leiden, South Holland, Netherlands"
"10 Feb 1633: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (The Hague, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1633-02-10T00:00:00Z,1633,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
"10 Feb 1633: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (The Hague, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1633-02-10T00:00:00Z,1633,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
"10 Sep 1633: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Vorstius, Adolphus, 1597-1663","Schurman, Anna Maria van, 1607-1678","Vorstius, Adolphus, 1597-1663",1633-09-10T00:00:00Z,1633,,"Utrecht, Utrecht, Netherlands",
"23 Oct 1633: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (The Hague, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1633-10-23T00:00:00Z,1633,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
