Description,Author,Recipient,Date,Year,Location,Origin,Destination
"1 Apr 1739: Gray, Thomas, 1716-1771 (Amiens, Hauts-de-France, France) to Gray, Dorothy (Mrs), 1685-1753","Gray, Thomas, 1716-1771","Gray, Dorothy (Mrs), 1685-1753",1739-04-01T00:00:00Z,1739,,"Amiens, Hauts-de-France, France",
"3 May 1739: Brett, Nicholas, 1713-1776 (Angers, Pays de la Loire, France) to Brett, Bridget (Mrs), 1677-1765 (Spring Grove, Wye, Kent, England)","Brett, Nicholas, 1713-1776","Brett, Bridget (Mrs), 1677-1765",1739-05-03T00:00:00Z,1739,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Angers, Pays de la Loire, France","Spring Grove, Wye, Kent, England"
"21 Jun 1739: Gray, Thomas, 1716-1771 (Reims, Grand Est, France) to Gray, Dorothy (Mrs), 1685-1753","Gray, Thomas, 1716-1771","Gray, Dorothy (Mrs), 1685-1753",1739-06-21T00:00:00Z,1739,,"Reims, Grand Est, France",
"13 Oct 1739: Gray, Thomas, 1716-1771 (Lyon, Auvergne-Rhône-Alpes, France) to Gray, Dorothy (Mrs), 1685-1753","Gray, Thomas, 1716-1771","Gray, Dorothy (Mrs), 1685-1753",1739-10-13T00:00:00Z,1739,,"Lyon, Auvergne-Rhône-Alpes, France",
"14 Feb 1740: Brett, Nicholas, 1713-1776 (Angers, Pays de la Loire, France) to Luxford, Sarah, b.1711 (Spring Grove, Wye, Kent, England)","Brett, Nicholas, 1713-1776","Luxford, Sarah, b.1711",1740-02-14T00:00:00Z,1740,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Angers, Pays de la Loire, France","Spring Grove, Wye, Kent, England"
"18 Oct 1740: Brett, Nicholas, 1713-1776 (Angers, Pays de la Loire, France) to Brett, Thomas, 1667-1744 ~ Brett, Bridget (Mrs), 1677-1765 ~ Brett, Boys, b.1706 (Spring Grove, Wye, Kent, England)","Brett, Nicholas, 1713-1776","Brett, Boys, b.1706; Brett, Bridget (Mrs), 1677-1765; Brett, Thomas, 1667-1744",1740-10-18T00:00:00Z,1740,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Angers, Pays de la Loire, France","Spring Grove, Wye, Kent, England"
"17 Jun 1741: Brett, Nicholas, 1713-1776 (Angers, Pays de la Loire, France) to Brett, Bridget (Mrs), 1677-1765 (Spring Grove, Wye, Kent, England)","Brett, Nicholas, 1713-1776","Brett, Bridget (Mrs), 1677-1765",1741-06-17T00:00:00Z,1741,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Angers, Pays de la Loire, France","Spring Grove, Wye, Kent, England"
"8 Jul 1741: Brett, Nicholas, 1713-1776 (Angers, Pays de la Loire, France) to Brett, S. (Mrs), fl. 1741 (Spring Grove, Wye, Kent, England)","Brett, Nicholas, 1713-1776","Brett, S. (Mrs), fl. 1741",1741-07-08T00:00:00Z,1741,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Angers, Pays de la Loire, France","Spring Grove, Wye, Kent, England"
"1 Jan 1742 to 31 Jan 1742: William IV, Prince of Orange, 1711-1751 (Cassel, Hauts-de-France, France) to Hanover, Anne of, 1709-1759","William IV, Prince of Orange, 1711-1751","Hanover, Anne of, 1709-1759",1742-01-31T00:00:00Z,1742,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","Cassel, Hauts-de-France, France",
"2 Apr 1742: Montagu, Edward Wortley, 1678-1761 (Chambéry, Auvergne-Rhône-Alpes, France) to Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761","Montagu, Mary Wortley (Lady), 1689-1762",1742-04-02T00:00:00Z,1742,,"Chambéry, Auvergne-Rhône-Alpes, France",
"22 Jul 1742: Brett, Nicholas, 1713-1776 (Boulogne, Hauts-de-France, France) to Brett, Bridget (Mrs), 1677-1765 (Spring Grove, Wye, Kent, England)","Brett, Nicholas, 1713-1776","Brett, Bridget (Mrs), 1677-1765",1742-07-22T00:00:00Z,1742,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom","Boulogne, Hauts-de-France, France","Spring Grove, Wye, Kent, England"
"22 May 1745: William Augustus, Duke of Cumberland, 1721-1765 (France) to Hanover, Anne of, 1709-1759","William Augustus, Duke of Cumberland, 1721-1765","Hanover, Anne of, 1709-1759",1745-05-22T00:00:00Z,1745,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands",France,
"8 Jun 1746: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Froullay, Renée-Caroline de, 1714-1803 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Froullay, Renée-Caroline de, 1714-1803",1746-06-08T00:00:00Z,1746,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"6 Jul 1746: Hume, David, 1711-1776 (Compiègne, Hauts-de-France, France) to Boufflers-Rouverel, Marie-Charlotte Hippolyte, 1724-1800","Hume, David, 1711-1776","Boufflers-Rouverel, Marie-Charlotte Hippolyte, 1724-1800",1746-07-06T00:00:00Z,1746,,"Compiègne, Hauts-de-France, France",
"1746: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Lémery, Madeleine-Catherine, b.1707 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Lémery, Madeleine-Catherine, b.1707",1746-12-31T00:00:00Z,1746,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"26 Nov 1748: Wagstaffe, Thomas (Reverend), 1692-1770 (France) to Blackmore, Barbara (Mrs), fl. 1732-1749","Wagstaffe, Thomas (Reverend), 1692-1770","Blackmore, Barbara (Mrs), fl. 1732-1749",1748-11-26T00:00:00Z,1748,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom",France,
"11 Jul 1749: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Froullay, Renée-Caroline de, 1714-1803 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Froullay, Renée-Caroline de, 1714-1803",1749-07-11T00:00:00Z,1749,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"2 Sep 1749: Wagstaffe, Thomas (Reverend), 1692-1770 (France) to Blackmore, Barbara (Mrs), fl. 1732-1749","Wagstaffe, Thomas (Reverend), 1692-1770","Blackmore, Barbara (Mrs), fl. 1732-1749",1749-09-02T00:00:00Z,1749,"Bodleian Library, University of Oxford, Bodl.
Bodl
BOD.
Bodley
Bodleian Libraries, Oxford, England, United Kingdom",France,
"13 Nov 1750: Nollet, Jean-Antoine, 1700-1770 (Paris, Île-de-France, France) to Bassi, Laura Maria Caterina, 1711-1788","Nollet, Jean-Antoine, 1700-1770","Bassi, Laura Maria Caterina, 1711-1788",1750-11-13T00:00:00Z,1750,,"Paris, Île-de-France, France",
"2 Feb 1751: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Froullay, Renée-Caroline de, 1714-1803 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Froullay, Renée-Caroline de, 1714-1803",1751-02-02T00:00:00Z,1751,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"10 Feb 1751: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Froullay, Renée-Caroline de, 1714-1803 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Froullay, Renée-Caroline de, 1714-1803",1751-02-10T00:00:00Z,1751,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"23 Jun 1751: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Du Deffand, Marie, 1697-1780 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Du Deffand, Marie, 1697-1780",1751-06-23T00:00:00Z,1751,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"31 Oct 1751: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Froullay, Renée-Caroline de, 1714-1803 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Froullay, Renée-Caroline de, 1714-1803",1751-10-31T00:00:00Z,1751,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"27 Nov 1751: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Froullay, Renée-Caroline de, 1714-1803 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Froullay, Renée-Caroline de, 1714-1803",1751-11-27T00:00:00Z,1751,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"10 Dec 1751: Nollet, Jean-Antoine, 1700-1770 (Paris, Île-de-France, France) to Bassi, Laura Maria Caterina, 1711-1788","Nollet, Jean-Antoine, 1700-1770","Bassi, Laura Maria Caterina, 1711-1788",1751-12-10T00:00:00Z,1751,,"Paris, Île-de-France, France",
"22 Dec 1751: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Froullay, Renée-Caroline de, 1714-1803 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Froullay, Renée-Caroline de, 1714-1803",1751-12-22T00:00:00Z,1751,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
