Description,Author,Recipient,Date,Year,Location,Origin,Destination
"12 Jan 1739: Châtelet, Gabrielle Emilie du, 1706-1749 (Château de Cirey, Cirey-sur-Blaise, Grand Est, France) to Frederick II of Prussia, 1712-1786","Châtelet, Gabrielle Emilie du, 1706-1749","Frederick II of Prussia, 1712-1786",1739-01-12T00:00:00Z,1739,,"Château de Cirey, Cirey-sur-Blaise, Grand Est, France",
"11 Feb 1739: Desmarest, Léopold, 1708-1747 ~ Graffigny, Françoise de (Mme), 1695-1758 (Vendeuvre-sur-Barse, Grand Est, France) to Devaux, François-Antoine, 1712-1796","Desmarest, Léopold, 1708-1747; Graffigny, Françoise de (Mme), 1695-1758","Devaux, François-Antoine, 1712-1796",1739-02-11T00:00:00Z,1739,,"Vendeuvre-sur-Barse, Grand Est, France",
"12 Feb 1739: Desmarest, Léopold, 1708-1747 ~ Graffigny, Françoise de (Mme), 1695-1758 (Provins, Île-de-France, France) to Devaux, François-Antoine, 1712-1796","Desmarest, Léopold, 1708-1747; Graffigny, Françoise de (Mme), 1695-1758","Devaux, François-Antoine, 1712-1796",1739-02-12T00:00:00Z,1739,,"Provins, Île-de-France, France",
"15 Feb 1739 to 16 Feb 1739: Graffigny, Françoise de (Mme), 1695-1758 (Paris, Île-de-France, France) to Devaux, François-Antoine, 1712-1796 (Lunéville, Grand Est, France)","Graffigny, Françoise de (Mme), 1695-1758","Devaux, François-Antoine, 1712-1796",1739-02-16T00:00:00Z,1739,,"Paris, Île-de-France, France","Lunéville, Grand Est, France"
"16 Feb 1739: Châtelet, Gabrielle Emilie du, 1706-1749 (Château de Cirey, Cirey-sur-Blaise, Grand Est, France) to Frederick II of Prussia, 1712-1786","Châtelet, Gabrielle Emilie du, 1706-1749","Frederick II of Prussia, 1712-1786",1739-02-16T00:00:00Z,1739,,"Château de Cirey, Cirey-sur-Blaise, Grand Est, France",
"27 Feb 1739: Châtelet, Gabrielle Emilie du, 1706-1749 (Château de Cirey, Cirey-sur-Blaise, Grand Est, France) to Frederick II of Prussia, 1712-1786","Châtelet, Gabrielle Emilie du, 1706-1749","Frederick II of Prussia, 1712-1786",1739-02-27T00:00:00Z,1739,,"Château de Cirey, Cirey-sur-Blaise, Grand Est, France",
"10 May 1739: Graffigny, Françoise de (Mme), 1695-1758 (Versailles, Île-de-France, France) to Devaux, François-Antoine, 1712-1796 (Lunéville, Grand Est, France)","Graffigny, Françoise de (Mme), 1695-1758","Devaux, François-Antoine, 1712-1796",1739-05-10T00:00:00Z,1739,,"Versailles, Île-de-France, France","Lunéville, Grand Est, France"
"9 Jun 1739 to 10 Jun 1739: Graffigny, Françoise de (Mme), 1695-1758 (Paris, Île-de-France, France) to Devaux, François-Antoine, 1712-1796 (Lunéville, Grand Est, France)","Graffigny, Françoise de (Mme), 1695-1758","Devaux, François-Antoine, 1712-1796",1739-06-10T00:00:00Z,1739,,"Paris, Île-de-France, France","Lunéville, Grand Est, France"
"27 Jul 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Calais, Hauts-de-France, France) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-07-27T00:00:00Z,1739,,"Calais, Hauts-de-France, France","Cavendish Square, London, England"
"31 Jul 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Lyon, Auvergne-Rhône-Alpes, France) to Montagu, Edward Wortley, 1678-1761","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-07-31T00:00:00Z,1739,,"Lyon, Auvergne-Rhône-Alpes, France",
"18 Aug 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Dijon, Bourgogne-Franche-Comté, France) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-08-18T00:00:00Z,1739,,"Dijon, Bourgogne-Franche-Comté, France","Cavendish Square, London, England"
"27 Aug 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Dijon, Bourgogne-Franche-Comté, France) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-08-27T00:00:00Z,1739,,"Dijon, Bourgogne-Franche-Comté, France","Cavendish Square, London, England"
"1 Sep 1739: Montagu, Mary Wortley (Lady), 1689-1762 (Lyon, Auvergne-Rhône-Alpes, France) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1739-09-01T00:00:00Z,1739,,"Lyon, Auvergne-Rhône-Alpes, France","Cavendish Square, London, England"
"13 Oct 1739: Châtelet, Gabrielle Emilie du, 1706-1749 (Paris, Île-de-France, France) to Frederick II of Prussia, 1712-1786","Châtelet, Gabrielle Emilie du, 1706-1749","Frederick II of Prussia, 1712-1786",1739-10-13T00:00:00Z,1739,,"Paris, Île-de-France, France",
"13 Nov 1739: Graffigny, Françoise de (Mme), 1695-1758 (Paris, Île-de-France, France) to Devaux, François-Antoine, 1712-1796 (Lunéville, Grand Est, France)","Graffigny, Françoise de (Mme), 1695-1758","Devaux, François-Antoine, 1712-1796",1739-11-13T00:00:00Z,1739,,"Paris, Île-de-France, France","Lunéville, Grand Est, France"
"8 Dec 1739 to 9 Dec 1739: Graffigny, Françoise de (Mme), 1695-1758 (Versailles, Île-de-France, France) to Devaux, François-Antoine, 1712-1796 (Lunéville, Grand Est, France)","Graffigny, Françoise de (Mme), 1695-1758","Devaux, François-Antoine, 1712-1796",1739-12-09T00:00:00Z,1739,,"Versailles, Île-de-France, France","Lunéville, Grand Est, France"
"25 Apr 1740: Châtelet, Gabrielle Emilie du, 1706-1749 (Versailles, Île-de-France, France) to Frederick II of Prussia, 1712-1786","Châtelet, Gabrielle Emilie du, 1706-1749","Frederick II of Prussia, 1712-1786",1740-04-25T00:00:00Z,1740,,"Versailles, Île-de-France, France",
"10 Oct 1740: Châtelet, Gabrielle Emilie du, 1706-1749 (Fontainebleau, Île-de-France, France) to Frederick II of Prussia, 1712-1786","Châtelet, Gabrielle Emilie du, 1706-1749","Frederick II of Prussia, 1712-1786",1740-10-10T00:00:00Z,1740,,"Fontainebleau, Île-de-France, France",
"28 Jun 1741: Graffigny, Françoise de (Mme), 1695-1758 (Versailles, Île-de-France, France) to Devaux, François-Antoine, 1712-1796","Graffigny, Françoise de (Mme), 1695-1758","Devaux, François-Antoine, 1712-1796",1741-06-28T00:00:00Z,1741,,"Versailles, Île-de-France, France",
"13 Aug 1741: Graffigny, Françoise de (Mme), 1695-1758 (Bercy, Paris, Île-de-France, France) to Devaux, François-Antoine, 1712-1796 (Marainville-sur-Madon, Grand Est, France)","Graffigny, Françoise de (Mme), 1695-1758","Devaux, François-Antoine, 1712-1796",1741-08-13T00:00:00Z,1741,,"Bercy, Paris, Île-de-France, France","Marainville-sur-Madon, Grand Est, France"
"29 Oct 1741: Graffigny, Françoise de (Mme), 1695-1758 (Paris, Île-de-France, France) to Devaux, François-Antoine, 1712-1796 (Lunéville, Grand Est, France)","Graffigny, Françoise de (Mme), 1695-1758","Devaux, François-Antoine, 1712-1796",1741-10-29T00:00:00Z,1741,,"Paris, Île-de-France, France","Lunéville, Grand Est, France"
"15 Nov 1741: Montagu, Mary Wortley (Lady), 1689-1762 (Chambéry, Auvergne-Rhône-Alpes, France) to Montagu, Edward Wortley, 1678-1761 (Cavendish Square, London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Montagu, Edward Wortley, 1678-1761",1741-11-15T00:00:00Z,1741,,"Chambéry, Auvergne-Rhône-Alpes, France","Cavendish Square, London, England"
