Description,Author,Recipient,Date,Year,Location,Origin,Destination
"7 Mar 1627: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Ostheim, Gelle de, fl. 1627 (Franeker, Friesland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Ostheim, Gelle de, fl. 1627",1627-03-07T00:00:00Z,1627,"Tresoar, Fries Historisch en Letterkundig Centrum
Frysk Histoarysk en Letterkundich Sintrum
Provinciale Bibliotheek Friesland
Provincial Libary, Leeuwarden
Tresoar, Frysk Histoarysk en Letterkundich Sintrum, Leeuwarden, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Franeker, Friesland, Netherlands"
"7 Sep 1639: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Elisabeth of the Palatinate (Princess), 1618-1680","Schurman, Anna Maria van, 1607-1678","Elisabeth of the Palatinate (Princess), 1618-1680",1639-09-07T00:00:00Z,1639,,"Utrecht, Utrecht, Netherlands",
"25 Dec 1639: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Coutel (Mrs), d.1639","Schurman, Anna Maria van, 1607-1678","Coutel (Mrs), d.1639",1639-12-25T00:00:00Z,1639,,"Utrecht, Utrecht, Netherlands",
"13 May 1640: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Makin, Bathsua, 1600-1675 or after","Schurman, Anna Maria van, 1607-1678","Makin, Bathsua, 1600-1675 or after",1640-05-13T00:00:00Z,1640,,"Utrecht, Utrecht, Netherlands",
"8 Aug 1640: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Dury, Dorothy Moore (née King), 1612-1664","Schurman, Anna Maria van, 1607-1678","Dury, Dorothy Moore (née King), 1612-1664",1640-08-08T00:00:00Z,1640,,"Utrecht, Utrecht, Netherlands",
"1 Apr 1641: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Dury, Dorothy Moore (née King), 1612-1664","Schurman, Anna Maria van, 1607-1678","Dury, Dorothy Moore (née King), 1612-1664",1641-04-01T00:00:00Z,1641,,"Utrecht, Utrecht, Netherlands",
"13 Aug 1642: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Merveil, Anne de, fl. 1642","Schurman, Anna Maria van, 1607-1678","Merveil, Anne de, fl. 1642",1642-08-13T00:00:00Z,1642,,"Utrecht, Utrecht, Netherlands",
"19 Aug 1643: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rohan, Anne de, 1584-1646","Schurman, Anna Maria van, 1607-1678","Rohan, Anne de, 1584-1646",1643-08-19T00:00:00Z,1643,,"Utrecht, Utrecht, Netherlands",
"13 Nov 1643: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rohan, Anne de, 1584-1646","Schurman, Anna Maria van, 1607-1678","Rohan, Anne de, 1584-1646",1643-11-13T00:00:00Z,1643,,"Utrecht, Utrecht, Netherlands",
"26 Jan 1644: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Elisabeth of the Palatinate (Princess), 1618-1680","Schurman, Anna Maria van, 1607-1678","Elisabeth of the Palatinate (Princess), 1618-1680",1644-01-26T00:00:00Z,1644,,"Utrecht, Utrecht, Netherlands",
"3 Feb 1645: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Soulekercken, van, fl. 1645-1660 (Cologne, North Rhine-Westphalia, Germany)","Schurman, Anna Maria van, 1607-1678","Soulekercken, van, fl. 1645-1660",1645-02-03T00:00:00Z,1645,,"Utrecht, Utrecht, Netherlands","Cologne, North Rhine-Westphalia, Germany"
"20 Oct 1645: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Makin, Bathsua, 1600-1675 or after","Schurman, Anna Maria van, 1607-1678","Makin, Bathsua, 1600-1675 or after",1645-10-20T00:00:00Z,1645,,"Utrecht, Utrecht, Netherlands",
"27 Sep 1646: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Moulin, Marie du, 1613-1699 (The Hague, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Moulin, Marie du, 1613-1699",1646-09-27T00:00:00Z,1646,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
"8 Dec 1646: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Moulin, Marie du, 1613-1699","Schurman, Anna Maria van, 1607-1678","Moulin, Marie du, 1613-1699",1646-12-08T00:00:00Z,1646,,"Utrecht, Utrecht, Netherlands",
"26 Jan 1640 to 26 Jan 1647: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Gournay, Marie de, 1565-1645","Schurman, Anna Maria van, 1607-1678","Gournay, Marie de, 1565-1645",1647-01-26T00:00:00Z,1640,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands",
"18 Mar 1648: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Mercier, Anne de, fl. 1623-1654","Schurman, Anna Maria van, 1607-1678","Mercier, Anne de, fl. 1623-1654",1648-03-18T00:00:00Z,1648,,"Utrecht, Utrecht, Netherlands",
"3 Apr 1649: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Moulin, Marie du, 1613-1699 (Breda, North Brabant, Netherlands)","Schurman, Anna Maria van, 1607-1678","Moulin, Marie du, 1613-1699",1649-04-03T00:00:00Z,1649,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Breda, North Brabant, Netherlands"
"13 Mar 1652: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Moulin, Marie du, 1613-1699","Schurman, Anna Maria van, 1607-1678","Moulin, Marie du, 1613-1699",1652-03-13T00:00:00Z,1652,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands",
"3 Feb 1654: Schurman, Anna Maria van, 1607-1678 (Cologne, North Rhine-Westphalia, Germany) to Soulekercken, van, fl. 1645-1660 (Zierikzee, Zeeland , Netherlands)","Schurman, Anna Maria van, 1607-1678","Soulekercken, van, fl. 1645-1660",1654-02-03T00:00:00Z,1654,,"Cologne, North Rhine-Westphalia, Germany","Zierikzee, Zeeland , Netherlands"
