Description,Author,Recipient,Date,Year,Location,Origin,Destination
"3 Dec 1741: Montagu, Mary Wortley (Lady), 1689-1762 (Chambéry, Auvergne-Rhône-Alpes, France) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1741-12-03T00:00:00Z,1741,,"Chambéry, Auvergne-Rhône-Alpes, France",
"4 Mar 1742: Montagu, Mary Wortley (Lady), 1689-1762 (Chambéry, Auvergne-Rhône-Alpes, France) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1742-03-04T00:00:00Z,1742,,"Chambéry, Auvergne-Rhône-Alpes, France",
"20 May 1742: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1742-05-20T00:00:00Z,1742,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"1 Jun 1742: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1742-06-01T00:00:00Z,1742,,"Avignon, Provence-Alpes-Côte d'Azur, France",
"1 Sep 1742: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1742-09-01T00:00:00Z,1742,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"15 Oct 1742: Montagu, Mary Wortley (Lady), 1689-1762 (Lyon, Auvergne-Rhône-Alpes, France) to Michiel, Chiara, d.1780","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1742-10-15T00:00:00Z,1742,,"Lyon, Auvergne-Rhône-Alpes, France",
"4 Nov 1742: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1742-11-04T00:00:00Z,1742,,"Avignon, Provence-Alpes-Côte d'Azur, France",
"20 Jan 1743: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1743-01-20T00:00:00Z,1743,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"4 May 1743: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1743-05-04T00:00:00Z,1743,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"29 Aug 1743: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1743-08-29T00:00:00Z,1743,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"7 Nov 1743: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1743-11-07T00:00:00Z,1743,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"15 Jan 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1744-01-15T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"13 Apr 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1744-04-13T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"14 Apr 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Erskine, Frances, 1690-1761","Montagu, Mary Wortley (Lady), 1689-1762","Erskine, Frances, 1690-1761",1744-04-14T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France",
"2 Jul 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1744-07-02T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"3 Jul 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1744-07-03T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"12 Jul 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Madrid, Spain)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1744-07-12T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Madrid, Spain"
"12 Jul 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Fermor, Henrietta Louisa, 1698-1761","Montagu, Mary Wortley (Lady), 1689-1762","Fermor, Henrietta Louisa, 1698-1761",1744-07-12T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France",
"10 Aug 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1744-08-10T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"20 Aug 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Michiel, Chiara, d.1780 (Venice, Veneto, Italy)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1744-08-20T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Venice, Veneto, Italy"
"14 Sep 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1744-09-14T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"15 Oct 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1744-10-15T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"29 Oct 1744: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1744-10-29T00:00:00Z,1744,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"3 Apr 1745: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1745-04-03T00:00:00Z,1745,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"1 Jun 1745: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1745-06-01T00:00:00Z,1745,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"21 Jul 1745: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1745-07-21T00:00:00Z,1745,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"21 Jan 1746: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1746-01-21T00:00:00Z,1746,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"15 Feb 1746: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1746-02-15T00:00:00Z,1746,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
"3 Mar 1746: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Stuart, Mary, 1718-1794","Montagu, Mary Wortley (Lady), 1689-1762","Stuart, Mary, 1718-1794",1746-03-03T00:00:00Z,1746,,"Avignon, Provence-Alpes-Côte d'Azur, France",
"10 Mar 1746: Montagu, Mary Wortley (Lady), 1689-1762 (Avignon, Provence-Alpes-Côte d'Azur, France) to Harley, Henrietta, 1694-1755 (Dover Street, London, Greater London, England)","Montagu, Mary Wortley (Lady), 1689-1762","Harley, Henrietta, 1694-1755",1746-03-10T00:00:00Z,1746,,"Avignon, Provence-Alpes-Côte d'Azur, France","Dover Street, London, Greater London, England"
