Description,Author,Recipient,Date,Year,Location,Origin,Destination
"8 Feb 1651: Huygens, Constantijn, 1596-1687 (The Hague, South Holland, Netherlands) to Henrietta Maria, Queen consort of Charles I, 1609-1669 (Paris, Île-de-France, France)","Huygens, Constantijn, 1596-1687","Henrietta Maria, Queen consort of Charles I, 1609-1669",1651-02-08T00:00:00Z,1651,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"1 Mar 1651: Huygens, Constantijn, 1596-1687 (The Hague, South Holland, Netherlands) to Henrietta Maria, Queen consort of Charles I, 1609-1669 (Paris, Île-de-France, France)","Huygens, Constantijn, 1596-1687","Henrietta Maria, Queen consort of Charles I, 1609-1669",1651-03-01T00:00:00Z,1651,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"1654: Vossius, Isaac, 1618-1689 to Unidentified female correspondent of Isaac Vossius, fl. 1654 (Paris, Île-de-France, France)","Vossius, Isaac, 1618-1689","Unidentified female correspondent of Isaac Vossius, fl. 1654",1654-12-31T00:00:00Z,1654,"Universiteit van Amsterdam, Bijzondere Collecties, University of Amsterdam, Special Collections
Universiteitsbibliotheek
Amsterdam University Library
Universiteits Bibliotheek
Universiteitsbibliotheek Amsterdam, Amsterdam, Netherlands, Nederland
Holland",,"Paris, Île-de-France, France"
"21 Jul 1661: Huygens, Christiaan, 1629-1695 (The Hague, South Holland, Netherlands) to Petit, Marianne, fl. 1661 (Paris, Île-de-France, France)","Huygens, Christiaan, 1629-1695","Petit, Marianne, fl. 1661",1661-07-21T00:00:00Z,1661,,"The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"14 Jun 1663: Huygens, Constantijn, 1596-1687 (London, England, United Kingdom) to Bergerotti, Anna, fl. 1665-1668 (Paris, Île-de-France, France)","Huygens, Constantijn, 1596-1687","Bergerotti, Anna, fl. 1665-1668",1663-06-14T00:00:00Z,1663,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","London, England, United Kingdom","Paris, Île-de-France, France"
"8 Nov 1663: Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France) to Pioche de La Vergne, Marie Madeleine, 1634-1693 (Paris, Île-de-France, France)","Huygens, Constantijn, 1596-1687","Pioche de La Vergne, Marie Madeleine, 1634-1693",1663-11-08T00:00:00Z,1663,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Paris, Île-de-France, France","Paris, Île-de-France, France"
"14 May 1671: Huygens, Constantijn, 1596-1687 (London, England, United Kingdom) to Enclos, Anne de l', 1620-1705 (Paris, Île-de-France, France)","Huygens, Constantijn, 1596-1687","Enclos, Anne de l', 1620-1705",1671-05-14T00:00:00Z,1671,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","London, England, United Kingdom","Paris, Île-de-France, France"
"13 Apr 1676: Evelyn, John, 1620-1706 (London, England, United Kingdom) to Berkeley, Christian, 1639-1698 (Paris, Île-de-France, France)","Evelyn, John, 1620-1706","Berkeley, Christian, 1639-1698",1676-04-13T00:00:00Z,1676,"British Library, Manuscript Collections, BL
British Museum
B.M.
The British Library, London, England, United Kingdom","London, England, United Kingdom","Paris, Île-de-France, France"
"8 Jun 1746: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Froullay, Renée-Caroline de, 1714-1803 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Froullay, Renée-Caroline de, 1714-1803",1746-06-08T00:00:00Z,1746,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"1746: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Lémery, Madeleine-Catherine, b.1707 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Lémery, Madeleine-Catherine, b.1707",1746-12-31T00:00:00Z,1746,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"11 Jul 1749: D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Froullay, Renée-Caroline de, 1714-1803 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783","Froullay, Renée-Caroline de, 1714-1803",1749-07-11T00:00:00Z,1749,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
