Description,Author,Recipient,Date,Year,Location,Origin,Destination
"30 Nov 1661: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1661-11-30T00:00:00Z,1661,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"21 Dec 1661: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1661-12-21T00:00:00Z,1661,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"28 Dec 1661: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1661-12-28T00:00:00Z,1661,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"11 Jan 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-01-11T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"18 Jan 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-01-18T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"25 Jan 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-01-25T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"8 Feb 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-02-08T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"15 Feb 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-02-15T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"1 Mar 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-03-01T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"19 Mar 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-03-19T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"22 Mar 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-03-22T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"12 Apr 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-04-12T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"12 Apr 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-04-12T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"19 Apr 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-04-19T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"3 May 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-05-03T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"10 May 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-05-10T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"31 May 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-05-31T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
"8 Jun 1662: Solms-Braunfels, Amalia von, 1602-1675 (The Hague, South Holland, Netherlands) to Huygens, Constantijn, 1596-1687 (Paris, Île-de-France, France)","Solms-Braunfels, Amalia von, 1602-1675","Huygens, Constantijn, 1596-1687",1662-06-08T00:00:00Z,1662,"Koninklijke Verzamelingen Den Haag, Royal Collections The Netherlands
Royal Archive
Koninklijke Verzamelingen
Koninklijk Huisarchief
Koninklijk Huisarchief, 's-Gravenhage, The Hague, Den Haag, Netherlands","The Hague, South Holland, Netherlands","Paris, Île-de-France, France"
