Description,Author,Recipient,Date,Year,Location,Origin,Destination
"8 Mar 1712: Montagu, Mary Wortley (Lady), 1689-1762 (Arlington Street, Piccadilly, London, England) to Hewet, Francis, 1668-1756","Montagu, Mary Wortley (Lady), 1689-1762","Hewet, Francis, 1668-1756",1712-03-08T00:00:00Z,1712,,"Arlington Street, Piccadilly, London, England",
"Apr 1713: Montagu, Mary Wortley (Lady), 1689-1762 (London, England, United Kingdom) to Massingberd, Philipa, 1689-1762 (Osbaston Hall, Osbaston, Knockin, Shropshire, England, United Kingdom)","Montagu, Mary Wortley (Lady), 1689-1762","Massingberd, Philipa, 1689-1762",1713-04-30T00:00:00Z,1713,,"London, England, United Kingdom","Osbaston Hall, Osbaston, Knockin, Shropshire, England, United Kingdom"
"29 Aug 1715: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1715-08-29T00:00:00Z,1715,,"Chelsea, London, England",
"10 Nov 1715: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1715-11-10T00:00:00Z,1715,,"Chelsea, London, England",
"1715: Schulenburg, Melusine von der, 1667-1743 (St James's Palace, St James's, Westminster, London, England, United Kingdom) to Montagu, Mary Wortley (Lady), 1689-1762","Schulenburg, Melusine von der, 1667-1743","Montagu, Mary Wortley (Lady), 1689-1762",1715-12-31T00:00:00Z,1715,,"St James's Palace, St James's, Westminster, London, England, United Kingdom",
"4 Sep 1716: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1716-09-04T00:00:00Z,1716,,"Chelsea, London, England",
"1 Jul 1717: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1717-07-01T00:00:00Z,1717,,"Chelsea, London, England",
"7 Jun 1718: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1718-06-07T00:00:00Z,1718,,"Chelsea, London, England",
"5 Aug 1718: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1718-08-05T00:00:00Z,1718,,"Chelsea, London, England",
"9 Sep 1718: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1718-09-09T00:00:00Z,1718,,"Chelsea, London, England",
"6 Dec 1718: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1718-12-06T00:00:00Z,1718,,"Chelsea, London, England",
"11 May 1719: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1719-05-11T00:00:00Z,1719,,"Chelsea, London, England",
"19 Jul 1719: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1719-07-19T00:00:00Z,1719,,"Chelsea, London, England",
"6 Sep 1721: Montagu, Mary Wortley (Lady), 1689-1762 (Twickenham, Greater London, England) to Erskine, Frances, 1690-1761","Montagu, Mary Wortley (Lady), 1689-1762","Erskine, Frances, 1690-1761",1721-09-06T00:00:00Z,1721,,"Twickenham, Greater London, England",
"24 Oct 1721: Astell, Mary, 1666-1731 (Manor Street, Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1721-10-24T00:00:00Z,1721,,"Manor Street, Chelsea, London, England",
"7 Mar 1723: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1723-03-07T00:00:00Z,1723,,"Chelsea, London, England",
"6 Jul 1723: Astell, Mary, 1666-1731 (Chelsea, London, England) to Coventry, Anne (Lady), 1673-1763","Astell, Mary, 1666-1731","Coventry, Anne (Lady), 1673-1763",1723-07-06T00:00:00Z,1723,,"Chelsea, London, England",
