Description,Author,Recipient,Date,Year,Location,Origin,Destination
"15 Oct 1771: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 ~ D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783; Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794",1771-10-15T00:00:00Z,1771,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"1 Nov 1771: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 ~ D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783; Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794",1771-11-01T00:00:00Z,1771,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"10 Jul 1772: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 ~ D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783; Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794",1772-07-10T00:00:00Z,1772,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"26 Jul 1772: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 ~ D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783; Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794",1772-07-26T00:00:00Z,1772,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"14 Aug 1772: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 ~ D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783; Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794",1772-08-14T00:00:00Z,1772,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"1773: Vichy Chamron (Mme), fl. 1773 (Montceaux-l'Étoile, Bourgogne-Franche-Comté, France) to D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France)","Vichy Chamron (Mme), fl. 1773","D'Alembert, Jean-Baptiste le Rond, 1717-1783",1773-12-31T00:00:00Z,1773,,"Montceaux-l'Étoile, Bourgogne-Franche-Comté, France","Paris, Île-de-France, France"
"2 Jun 1774: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 (Paris, Île-de-France, France) to D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France)","Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","D'Alembert, Jean-Baptiste le Rond, 1717-1783",1774-06-02T00:00:00Z,1774,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"25 Jun 1774: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 ~ D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783; Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794",1774-06-25T00:00:00Z,1774,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"30 Jun 1774: Beauvau-Craon, Charles Just de, 1720-1793 ~ Rohan Chabot, Marie-Sylvie de, 1729-1807 (Paris, Île-de-France, France) to D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France)","Beauvau-Craon, Charles Just de, 1720-1793; Rohan Chabot, Marie-Sylvie de, 1729-1807","D'Alembert, Jean-Baptiste le Rond, 1717-1783",1774-06-30T00:00:00Z,1774,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"29 Aug 1774: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 ~ D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Saint-Pierre, Jacques-Henri Bernardin de, 1737-1814 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783; Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","Saint-Pierre, Jacques-Henri Bernardin de, 1737-1814",1774-08-29T00:00:00Z,1774,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"5 Sep 1774: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 ~ D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Saint-Pierre, Jacques-Henri Bernardin de, 1737-1814 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783; Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","Saint-Pierre, Jacques-Henri Bernardin de, 1737-1814",1774-09-05T00:00:00Z,1774,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"8 Apr 1775: Grandjean de Fouchy Desportes de Pardailhan, Marie-Madeleine, d.1784 (Paris, Île-de-France, France) to D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France)","Grandjean de Fouchy Desportes de Pardailhan, Marie-Madeleine, d.1784","D'Alembert, Jean-Baptiste le Rond, 1717-1783",1775-04-08T00:00:00Z,1775,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"15 Sep 1775: Crozat, Louise Honorine, 1734-1801 (Château de Chanteloup, Amboise, Centre-Val de Loire, France) to Jacquier, François, 1711-1788 (Rome, Latium, Italy)","Crozat, Louise Honorine, 1734-1801","Jacquier, François, 1711-1788",1775-09-15T00:00:00Z,1775,,"Château de Chanteloup, Amboise, Centre-Val de Loire, France","Rome, Latium, Italy"
"24 Sep 1775: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 ~ D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783; Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","Condorcet, Marie Jean Antoine Nicolas de Caritat, marquis de, 1743-1794",1775-09-24T00:00:00Z,1775,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"19 Oct 1775: Grandjean de Fouchy Desportes de Pardailhan, Marie-Madeleine, d.1784 (Paris, Île-de-France, France) to D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France)","Grandjean de Fouchy Desportes de Pardailhan, Marie-Madeleine, d.1784","D'Alembert, Jean-Baptiste le Rond, 1717-1783",1775-10-19T00:00:00Z,1775,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"25 Oct 1775: Lespinasse, Julie-Jeanne-Éléonore, 1732-1776 ~ D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France) to Saint-Pierre, Jacques-Henri Bernardin de, 1737-1814 (Paris, Île-de-France, France)","D'Alembert, Jean-Baptiste le Rond, 1717-1783; Lespinasse, Julie-Jeanne-Éléonore, 1732-1776","Saint-Pierre, Jacques-Henri Bernardin de, 1737-1814",1775-10-25T00:00:00Z,1775,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"2 Sep 1776: Geoffrin de La Ferté Imbault, Marie-Thérèse, 1715-1791 (Paris, Île-de-France, France) to D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France)","Geoffrin de La Ferté Imbault, Marie-Thérèse, 1715-1791","D'Alembert, Jean-Baptiste le Rond, 1717-1783",1776-09-02T00:00:00Z,1776,,"Paris, Île-de-France, France","Paris, Île-de-France, France"
"20 Feb 1779: Hornoy, Alexandrine-Geneviève d', fl. 1772-1779 (Rue Saint-Honoré, Paris, Île-de-France, France) to D'Alembert, Jean-Baptiste le Rond, 1717-1783 (Paris, Île-de-France, France)","Hornoy, Alexandrine-Geneviève d', fl. 1772-1779","D'Alembert, Jean-Baptiste le Rond, 1717-1783",1779-02-20T00:00:00Z,1779,,"Rue Saint-Honoré, Paris, Île-de-France, France","Paris, Île-de-France, France"
