Description,Author,Recipient,Date,Year,Location,Origin,Destination
"12 Mar 1757: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Algarotti, Francesco (Conte), 1712-1764 (Bologna, Emilia-Romagna, Italy)","Montagu, Mary Wortley (Lady), 1689-1762","Algarotti, Francesco (Conte), 1712-1764",1757-03-12T00:00:00Z,1757,,"Venice, Veneto, Italy","Bologna, Emilia-Romagna, Italy"
"11 Jan 1759: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Mackenzie, James Stuart, 1719-1800 (Turin, Piedmont, Italy)","Montagu, Mary Wortley (Lady), 1689-1762","Mackenzie, James Stuart, 1719-1800",1759-01-11T00:00:00Z,1759,,"Venice, Veneto, Italy","Turin, Piedmont, Italy"
"17 Feb 1759: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Mackenzie, James Stuart, 1719-1800 (Turin, Piedmont, Italy)","Montagu, Mary Wortley (Lady), 1689-1762","Mackenzie, James Stuart, 1719-1800",1759-02-17T00:00:00Z,1759,,"Venice, Veneto, Italy","Turin, Piedmont, Italy"
"17 Mar 1759: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Mackenzie, James Stuart, 1719-1800 (Turin, Piedmont, Italy)","Montagu, Mary Wortley (Lady), 1689-1762","Mackenzie, James Stuart, 1719-1800",1759-03-17T00:00:00Z,1759,,"Venice, Veneto, Italy","Turin, Piedmont, Italy"
"6 Jun 1761: Montagu, Mary Wortley (Lady), 1689-1762 (Venice, Veneto, Italy) to Mackenzie, James Stuart, 1719-1800 (Turin, Piedmont, Italy)","Montagu, Mary Wortley (Lady), 1689-1762","Mackenzie, James Stuart, 1719-1800",1761-06-06T00:00:00Z,1761,,"Venice, Veneto, Italy","Turin, Piedmont, Italy"
"5 Mar 1766: Bassi, Laura Maria Caterina, 1711-1788 (Bologna, Emilia-Romagna, Italy) to Preti, Ludovico, fl. 1750-1767 (Rome, Latium, Italy)","Bassi, Laura Maria Caterina, 1711-1788","Preti, Ludovico, fl. 1750-1767",1766-03-05T00:00:00Z,1766,"Oesterreichische Nationalbibliothek, Österreichische Nationalbibliothek
Austrian National Library
Osterreichische Nationalbibliothek, Vienna, Wien, Austria, Österreich","Bologna, Emilia-Romagna, Italy","Rome, Latium, Italy"
"25 Mar 1774: Medici, Maria, fl. 1770-1780 (Padua, Veneto, Italy) to Taleoni, Marc'Antonio, fl. 1774 (Osimo, The Marches, Italy)","Medici, Maria, fl. 1770-1780","Taleoni, Marc'Antonio, fl. 1774",1774-03-25T00:00:00Z,1774,"Oesterreichische Nationalbibliothek, Österreichische Nationalbibliothek
Austrian National Library
Osterreichische Nationalbibliothek, Vienna, Wien, Austria, Österreich","Padua, Veneto, Italy","Osimo, The Marches, Italy"
"16 Aug 1775: Mengs, Margarita, fl. 1778 (Ariccia, Latium, Italy) to Maron, Anton von, 1733-1808 (Rome, Latium, Italy)","Mengs, Margarita, fl. 1778","Maron, Anton von, 1733-1808",1775-08-16T00:00:00Z,1775,,"Ariccia, Latium, Italy","Rome, Latium, Italy"
"23 Mar 1784: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Caetani, Onorato, 1742-1797 (Rome, Latium, Italy)","Kauffmann, Angelika, 1741-1807","Caetani, Onorato, 1742-1797",1784-03-23T00:00:00Z,1784,,"Rome, Latium, Italy","Rome, Latium, Italy"
"10 May 1788: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Goethe, Johann Wolfgang von, 1749-1832 (Milan, Lombardy, Italy)","Kauffmann, Angelika, 1741-1807","Goethe, Johann Wolfgang von, 1749-1832",1788-05-10T00:00:00Z,1788,,"Rome, Latium, Italy","Milan, Lombardy, Italy"
"17 May 1788: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Goethe, Johann Wolfgang von, 1749-1832 (Milan, Lombardy, Italy)","Kauffmann, Angelika, 1741-1807","Goethe, Johann Wolfgang von, 1749-1832",1788-05-17T00:00:00Z,1788,,"Rome, Latium, Italy","Milan, Lombardy, Italy"
"4 Jun 1788: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Bencivenni Pelli, Giuseppe, 1729-1808 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Bencivenni Pelli, Giuseppe, 1729-1808",1788-06-04T00:00:00Z,1788,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"Jun 1788: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Bencivenni Pelli, Giuseppe, 1729-1808 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Bencivenni Pelli, Giuseppe, 1729-1808",1788-06-30T00:00:00Z,1788,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"2 Sep 1788: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Salis-Marschlins, Carl Ulysses von, 1762-1818 (Naples, Campania, Italy)","Kauffmann, Angelika, 1741-1807","Salis-Marschlins, Carl Ulysses von, 1762-1818",1788-09-02T00:00:00Z,1788,,"Rome, Latium, Italy","Naples, Campania, Italy"
