Description,Author,Recipient,Date,Year,Location,Origin,Destination
"25 Feb 1741: Montagu, Mary Wortley (Lady), 1689-1762 (Livorno, Tuscany, Italy) to Michiel, Chiara, d.1780 (Venice, Veneto, Italy)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1741-02-25T00:00:00Z,1741,,"Livorno, Tuscany, Italy","Venice, Veneto, Italy"
"11 Aug 1758: Montagu, Mary Wortley (Lady), 1689-1762 (Padua, Veneto, Italy) to Michiel, Chiara, d.1780 (Venice, Veneto, Italy)","Montagu, Mary Wortley (Lady), 1689-1762","Michiel, Chiara, d.1780",1758-08-11T00:00:00Z,1758,,"Padua, Veneto, Italy","Venice, Veneto, Italy"
"18 Sep 1789: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sachsen-Weimar-Eisenach, Anna Amalia von, 1739-1807 (Naples, Campania, Italy)","Kauffmann, Angelika, 1741-1807","Sachsen-Weimar-Eisenach, Anna Amalia von, 1739-1807",1789-09-18T00:00:00Z,1789,,"Rome, Latium, Italy","Naples, Campania, Italy"
"11 Dec 1789: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sachsen-Weimar-Eisenach, Anna Amalia von, 1739-1807 (Naples, Campania, Italy)","Kauffmann, Angelika, 1741-1807","Sachsen-Weimar-Eisenach, Anna Amalia von, 1739-1807",1789-12-11T00:00:00Z,1789,,"Rome, Latium, Italy","Naples, Campania, Italy"
"5 Jan 1790: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Filangieri, Carolina, 1750-1828 (Naples, Campania, Italy)","Kauffmann, Angelika, 1741-1807","Filangieri, Carolina, 1750-1828",1790-01-05T00:00:00Z,1790,,"Rome, Latium, Italy","Naples, Campania, Italy"
"25 May 1792: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1792-05-25T00:00:00Z,1792,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"18 Aug 1792: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1792-08-18T00:00:00Z,1792,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"22 Sep 1792: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1792-09-22T00:00:00Z,1792,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"12 Oct 1792: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1792-10-12T00:00:00Z,1792,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"27 Oct 1792: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1792-10-27T00:00:00Z,1792,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"10 Nov 1792: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1792-11-10T00:00:00Z,1792,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"1 Dec 1792: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1792-12-01T00:00:00Z,1792,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"28 Dec 1792: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1792-12-28T00:00:00Z,1792,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"17 Jan 1793: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1793-01-17T00:00:00Z,1793,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"24 Feb 1793: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1793-02-24T00:00:00Z,1793,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"30 Mar 1793: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1793-03-30T00:00:00Z,1793,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"11 May 1793: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1793-05-11T00:00:00Z,1793,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"25 May 1793: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1793-05-25T00:00:00Z,1793,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"10 Sep 1793: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1793-09-10T00:00:00Z,1793,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"6 Dec 1793: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1793-12-06T00:00:00Z,1793,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"31 Dec 1793: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Hamilton, Emma, 1765-1815 (Naples, Campania, Italy)","Kauffmann, Angelika, 1741-1807","Hamilton, Emma, 1765-1815",1793-12-31T00:00:00Z,1793,,"Rome, Latium, Italy","Naples, Campania, Italy"
"29 May 1794: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1794-05-29T00:00:00Z,1794,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"29 Jan 1795: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1795-01-29T00:00:00Z,1795,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
"21 Jul 1795: Kauffmann, Angelika, 1741-1807 (Rome, Latium, Italy) to Sulgher Fantastici, Fortunata, 1755-1824 (Florence, Tuscany, Italy)","Kauffmann, Angelika, 1741-1807","Sulgher Fantastici, Fortunata, 1755-1824",1795-07-21T00:00:00Z,1795,,"Rome, Latium, Italy","Florence, Tuscany, Italy"
