Description,Author,Recipient,Date,Year,Location,Origin,Destination
"8 Jun 1625: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands) to Thurn, Jindřich Matyáš, 1567-1640 (Venice, Veneto, Italy)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Thurn, Jindřich Matyáš, 1567-1640",1625-06-08T00:00:00Z,1625,,"The Hague, South Holland, Netherlands","Venice, Veneto, Italy"
"11 Nov 1625: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands) to Thurn, Jindřich Matyáš, 1567-1640 (Brescia, Lombardy, Italy)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Thurn, Jindřich Matyáš, 1567-1640",1625-11-11T00:00:00Z,1625,,"The Hague, South Holland, Netherlands","Brescia, Lombardy, Italy"
"1 Mar 1627: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands) to Thurn, Jindřich Matyáš, 1567-1640 (Brescia, Lombardy, Italy)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Thurn, Jindřich Matyáš, 1567-1640",1627-03-01T00:00:00Z,1627,,"The Hague, South Holland, Netherlands","Brescia, Lombardy, Italy"
"28 Mar 1627: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands) to Thurn, Jindřich Matyáš, 1567-1640 (Brescia, Lombardy, Italy)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Thurn, Jindřich Matyáš, 1567-1640",1627-03-28T00:00:00Z,1627,,"The Hague, South Holland, Netherlands","Brescia, Lombardy, Italy"
"3 Jan 1636: Vico-Dimmer, Jeanne Marie, fl. 1636-1645 (Venice, Veneto, Italy) to Huygens, Constantijn, 1596-1687 (The Hague, South Holland, Netherlands)","Vico-Dimmer, Jeanne Marie, fl. 1636-1645","Huygens, Constantijn, 1596-1687",1636-01-03T00:00:00Z,1636,"Universiteitsbibliotheek Leiden, Leiden University Library
Universiteitsbibliotheek, Leiden
Leiden University Libraries
Bibliotheek der Rijksuniversiteit, Leiden, Leiden, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"10 Jun 1642: Vossius, Gerardus Joannes, 1577-1649 ~ Vossius, Elizabeth, 1585-1659 (Amsterdam, North Holland, (United Provinces) Netherlands) to Vossius, Isaac, 1618-1689 (Rome, Latium, Italy)","Vossius, Elizabeth, 1585-1659; Vossius, Gerardus Joannes, 1577-1649","Vossius, Isaac, 1618-1689",1642-06-10T00:00:00Z,1642,"Universiteit van Amsterdam, Bijzondere Collecties, University of Amsterdam, Special Collections
Universiteitsbibliotheek
Amsterdam University Library
Universiteits Bibliotheek
Universiteitsbibliotheek Amsterdam, Amsterdam, Netherlands, Nederland
Holland","Amsterdam, North Holland, (United Provinces) Netherlands","Rome, Latium, Italy"
"10 Jun 1642: Vossius, Elizabeth, 1585-1659 ~ Vossius, Gerardus Joannes, 1577-1649 (Amsterdam, North Holland, (United Provinces) Netherlands) to Vossius, Isaac, 1618-1689 (Rome, Latium, Italy)","Vossius, Elizabeth, 1585-1659; Vossius, Gerardus Joannes, 1577-1649","Vossius, Isaac, 1618-1689",1642-06-10T00:00:00Z,1642,"Universiteit van Amsterdam, Bijzondere Collecties, University of Amsterdam, Special Collections
Universiteitsbibliotheek
Amsterdam University Library
Universiteits Bibliotheek
Universiteitsbibliotheek Amsterdam, Amsterdam, Netherlands, Nederland
Holland","Amsterdam, North Holland, (United Provinces) Netherlands","Rome, Latium, Italy"
"12 Aug 1642: Vossius, Gerardus Joannes, 1577-1649 ~ Vossius, Elizabeth, 1585-1659 (Amsterdam, North Holland, (United Provinces) Netherlands) to Vossius, Isaac, 1618-1689 (Venice, Veneto, Italy)","Vossius, Elizabeth, 1585-1659; Vossius, Gerardus Joannes, 1577-1649","Vossius, Isaac, 1618-1689",1642-08-12T00:00:00Z,1642,"Universiteit van Amsterdam, Bijzondere Collecties, University of Amsterdam, Special Collections
Universiteitsbibliotheek
Amsterdam University Library
Universiteits Bibliotheek
Universiteitsbibliotheek Amsterdam, Amsterdam, Netherlands, Nederland
Holland","Amsterdam, North Holland, (United Provinces) Netherlands","Venice, Veneto, Italy"
"12 Aug 1642: Vossius, Elizabeth, 1585-1659 ~ Vossius, Gerardus Joannes, 1577-1649 (Amsterdam, North Holland, (United Provinces) Netherlands) to Vossius, Isaac, 1618-1689 (Venice, Veneto, Italy)","Vossius, Elizabeth, 1585-1659; Vossius, Gerardus Joannes, 1577-1649","Vossius, Isaac, 1618-1689",1642-08-12T00:00:00Z,1642,"Universiteit van Amsterdam, Bijzondere Collecties, University of Amsterdam, Special Collections
Universiteitsbibliotheek
Amsterdam University Library
Universiteits Bibliotheek
Universiteitsbibliotheek Amsterdam, Amsterdam, Netherlands, Nederland
Holland","Amsterdam, North Holland, (United Provinces) Netherlands","Venice, Veneto, Italy"
"9 Sep 1642: Vossius, Gerardus Joannes, 1577-1649 ~ Vossius, Elizabeth, 1585-1659 (Amsterdam, North Holland, (United Provinces) Netherlands) to Vossius, Isaac, 1618-1689 (Venice, Veneto, Italy)","Vossius, Elizabeth, 1585-1659; Vossius, Gerardus Joannes, 1577-1649","Vossius, Isaac, 1618-1689",1642-09-09T00:00:00Z,1642,"Universiteit van Amsterdam, Bijzondere Collecties, University of Amsterdam, Special Collections
Universiteitsbibliotheek
Amsterdam University Library
Universiteits Bibliotheek
Universiteitsbibliotheek Amsterdam, Amsterdam, Netherlands, Nederland
Holland","Amsterdam, North Holland, (United Provinces) Netherlands","Venice, Veneto, Italy"
