Description,Author,Recipient,Date,Year,Location,Origin,Destination
"12 Dec 1601: Ropal of Ryfmberk, Adam, fl. 1598-1602 (Siena, Tuscany, Italy) to Valdštejn, Kateřina Anna of, fl. 1601","Ropal of Ryfmberk, Adam, fl. 1598-1602","Valdštejn, Kateřina Anna of, fl. 1601",1601-12-12T00:00:00Z,1601,,"Siena, Tuscany, Italy",
"2 Feb 1608: Magni, Giovanni, fl. 1606 (Rome, Latium, Italy) to Medici, Eleonora de', 1567-1611","Magni, Giovanni, fl. 1606","Medici, Eleonora de', 1567-1611",1608-02-02T00:00:00Z,1608,,"Rome, Latium, Italy",
"11 Jun 1620: Huygens, Constantijn, 1596-1687 (Vicenza, Veneto, Italy) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1620-06-11T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Vicenza, Veneto, Italy","The Hague, South Holland, Netherlands"
"18 Jun 1620: Huygens, Constantijn, 1596-1687 (Venice, Veneto, Italy) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1620-06-18T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"18 Jun 1620: Huygens, Constantijn, 1596-1687 (Venice, Veneto, Italy) to Dorp, Dorothée, 1593-1657 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Dorp, Dorothée, 1593-1657",1620-06-18T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"25 Jun 1620: Huygens, Constantijn, 1596-1687 (Venice, Veneto, Italy) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1620-06-25T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"2 Jul 1620: Huygens, Constantijn, 1596-1687 (Venice, Veneto, Italy) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1620-07-02T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"4 Jul 1620: Huygens, Constantijn, 1596-1687 (Venice, Veneto, Italy) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1620-07-04T00:00:00Z,1620,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Venice, Veneto, Italy","The Hague, South Holland, Netherlands"
"5 Oct 1621: Peiresc, Nicolas-Claude Fabri de, 1580-1637 (Paris, Île-de-France, France) to Barclay (Madamoiselle), fl. 1621-1622 (Rome, Latium, Italy)","Peiresc, Nicolas-Claude Fabri de, 1580-1637","Barclay (Madamoiselle), fl. 1621-1622",1621-10-05T00:00:00Z,1621,,"Paris, Île-de-France, France","Rome, Latium, Italy"
"20 Oct 1621: Peiresc, Nicolas-Claude Fabri de, 1580-1637 (Paris, Île-de-France, France) to Barclay (Madamoiselle), fl. 1621-1622 (Rome, Latium, Italy)","Peiresc, Nicolas-Claude Fabri de, 1580-1637","Barclay (Madamoiselle), fl. 1621-1622",1621-10-20T00:00:00Z,1621,,"Paris, Île-de-France, France","Rome, Latium, Italy"
